Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,44,Konsa,4.4,4.4,Aston Villa,85,2.736,83,3.602,76,2.279,76,3.3,76,2.906,76,1.98,73,2.495
D,612,Faes,4.2,4.2,Leicester,87,3.726,79,2.623,78,3.379,76,2.626,75,1.895,72,2.015,74,2.955
F,690,João Félix,7.4,7.4,Chelsea,0,0.0,64,3.036,63,2.681,62,3.053,62,3.024,62,5.175,59,2.238
M,314,Foden,8.0,8.0,Man City,0,0.0,53,2.163,51,4.907,52,2.613,52,2.707,51,4.368,51,2.33
M,480,Neves,5.2,5.2,Wolves,79,2.903,76,2.975,79,2.528,74,2.779,74,2.529,74,3.006,73,2.366
D,733,Pedro Porro,4.8,4.8,Spurs,86,2.767,80,3.027,78,2.417,76,3.901,72,2.886,62,2.435,51,1.636
M,264,Barnes,6.7,6.7,Leicester,19,1.407,50,2.001,68,3.552,69,3.477,67,2.748,67,2.789,66,3.09
F,596,Ferguson,4.6,4.6,Brighton,0,0.0,23,1.601,35,4.068,45,2.534,44,4.04,46,4.491,43,2.254
D,199,Tarkowski,4.2,4.2,Everton,86,3.13,83,2.563,80,2.808,79,1.968,79,1.749,79,3.172,79,3.504
M,37,McGinn,5.1,5.1,Aston Villa,83,2.92,78,3.17,73,2.526,71,2.807,71,2.665,70,2.387,68,2.355
M,220,Palhinha,4.9,4.9,Fulham,85,2.536,80,2.311,82,4.247,79,2.503,78,2.514,78,2.497,76,2.139
D,430,Dier,5.1,5.1,Spurs,87,2.288,81,2.542,81,1.931,80,3.443,81,2.629,80,2.948,79,2.898
D,463,Coufal,4.0,4.0,West Ham,62,2.422,67,2.024,67,4.314,64,2.125,67,2.384,65,2.939,65,2.455
D,73,Kelly,4.3,4.3,Bournemouth,83,2.93,82,3.019,78,2.927,76,2.565,74,2.5,71,2.016,72,2.629
M,64,Lerma,4.7,4.7,Bournemouth,79,2.735,79,2.774,77,2.766,77,2.634,74,2.548,76,2.49,74,2.635
G,175,Johnstone,4.4,4.4,Crystal Palace,88,4.652,88,4.523,80,4.569,50,1.631,17,1.088,4,1.036,4,1.015
D,215,Tete,4.4,4.4,Fulham,76,3.004,73,2.273,73,3.225,67,2.609,67,2.687,68,2.833,66,1.736
M,70,Billing,5.2,5.2,Bournemouth,72,3.056,70,3.071,67,2.728,66,2.508,63,2.352,65,2.294,62,2.314
M,514,C.Doucouré,5.0,5.0,Crystal Palace,80,2.797,78,2.687,77,2.69,75,2.344,72,2.608,72,2.44,73,2.699
M,508,Sinisterra,6.5,6.5,Leeds,69,3.414,66,2.925,64,2.809,63,2.236,63,2.407,61,2.444,59,1.99
D,423,Bella-Kotchap,4.5,4.5,Southampton,84,1.823,84,3.541,79,2.248,77,3.388,77,3.24,76,1.952,74,1.994
F,227,Bamford,7.1,7.1,Leeds,54,2.08,65,2.969,65,2.995,63,2.553,61,2.396,63,2.795,60,2.336
D,146,James,5.8,5.8,Chelsea,0,0.0,66,3.27,63,2.19,61,2.818,61,3.504,60,3.71,61,2.414
D,409,Walker-Peters,4.4,4.4,Southampton,85,1.881,80,3.526,75,2.205,73,3.225,72,3.052,72,1.956,74,2.052
M,211,Reed,4.3,4.3,Fulham,72,2.679,70,2.479,67,4.204,66,2.317,62,2.1,63,2.141,63,1.937
M,679,Buonanotte,4.5,4.5,Brighton,0,0.0,15,2.261,15,4.04,13,2.371,9,3.454,10,3.957,7,1.689
D,510,Hickey,4.9,4.9,Brentford,79,2.867,78,2.636,75,3.824,73,1.711,69,2.855,68,2.051,66,1.546
M,245,Roca,4.8,4.8,Leeds,78,2.748,74,2.632,73,2.596,73,2.203,72,2.392,72,2.462,71,2.405
F,191,Calvert-Lewin,7.9,7.9,Everton,18,1.316,52,1.647,70,2.957,70,2.727,71,2.755,71,2.986,70,3.037
F,297,Darwin,8.7,8.7,Liverpool,52,2.271,52,2.232,50,4.361,48,2.123,47,2.163,47,2.076,44,2.157
M,88,Jensen,4.8,4.8,Brentford,70,2.852,65,2.433,67,2.926,65,2.229,63,2.456,63,2.251,64,2.081
M,577,Onana,4.8,4.8,Everton,63,2.065,74,2.516,74,2.634,73,2.392,72,2.337,70,2.584,68,2.585
M,6,Partey,4.7,4.7,Arsenal,71,2.935,68,2.24,69,2.633,67,2.305,65,2.217,63,2.344,64,2.435
M,373,Willock,4.7,4.7,Newcastle,59,2.301,56,2.349,56,2.325,56,2.102,53,3.83,52,2.162,54,1.98
D,443,Romero,4.9,4.9,Spurs,87,2.065,83,2.313,80,1.715,80,3.209,80,2.373,77,2.692,77,2.656
D,410,Bednarek,4.2,4.2,Southampton,85,1.699,80,3.343,76,2.078,76,3.199,75,2.986,73,1.824,72,1.873
M,161,Schlupp,4.7,4.7,Crystal Palace,69,2.958,69,2.895,67,2.662,63,2.215,61,2.201,58,1.899,57,1.93
D,477,Jonny,4.3,4.3,Wolves,67,2.305,71,3.101,69,1.919,70,2.676,66,1.897,67,3.087,66,1.678
D,482,Semedo,5.0,5.0,Wolves,83,2.756,60,1.97,60,1.329,75,2.912,75,2.134,74,3.514,74,1.885
F,103,Welbeck,6.5,6.5,Brighton,0,0.0,48,1.978,44,3.677,41,2.023,39,3.336,38,3.646,37,1.778
M,370,S.Longstaff,4.3,4.3,Newcastle,62,2.228,65,2.597,62,2.431,59,1.863,58,3.421,58,2.04,59,1.82
D,709,Kristiansen,4.5,4.5,Leicester,73,3.663,71,2.621,66,2.929,65,2.341,61,1.599,56,1.398,58,1.808
M,340,Sancho,7.1,7.1,Man Utd,0,0.0,61,2.719,49,3.784,38,1.94,35,1.982,34,3.887,37,2.003
D,329,Varane,4.8,4.8,Man Utd,0,0.0,0,-0.018,19,2.256,37,1.242,58,2.323,76,6.876,76,3.605
D,330,Maguire,4.7,4.7,Man Utd,0,0.0,73,2.502,68,4.823,65,2.481,58,2.104,52,2.905,52,1.466
D,302,Stones,5.5,5.5,Man City,0,0.0,57,1.826,60,5.192,56,2.101,55,2.094,54,3.32,54,1.709
M,185,A.Doucouré,5.3,5.3,Everton,0,-0.1,72,2.733,71,3.063,66,2.285,68,2.4,68,2.945,67,2.789
G,729,Navas,4.5,4.5,Nott'm Forest,75,2.441,69,2.622,64,2.409,62,2.541,63,2.385,60,1.647,60,2.039
M,611,Gueye,4.8,4.8,Everton,80,2.556,70,2.255,69,2.283,72,2.198,68,2.028,71,2.421,66,2.236
D,209,Tosin,4.4,4.4,Fulham,71,2.701,69,2.184,65,2.939,62,2.189,60,2.057,62,2.28,62,1.581
M,720,McKennie,4.7,4.7,Leeds,78,2.68,70,2.437,71,2.499,68,1.975,67,2.017,70,2.349,63,1.881
M,321,Lavia,4.5,4.5,Southampton,78,2.18,76,2.559,74,2.15,72,2.414,72,2.369,71,2.053,71,2.098
F,345,Martial,6.3,6.3,Man Utd,0,0.0,59,2.275,53,3.818,49,1.962,48,1.944,48,3.809,48,1.978
F,288,Diogo Jota,8.7,8.7,Liverpool,54,2.199,50,2.015,43,3.831,39,1.889,35,1.947,36,1.857,37,2.019
D,230,Koch,4.5,4.5,Leeds,86,2.548,82,2.693,80,2.608,78,1.296,79,2.157,78,2.33,74,2.122
M,293,Luis Díaz,7.8,7.8,Liverpool,11,1.396,18,1.56,29,3.932,41,2.151,45,2.234,44,2.126,44,2.329
D,57,Smith,4.3,4.3,Bournemouth,81,2.779,62,1.956,60,1.679,76,2.429,74,2.385,75,1.937,75,2.543
M,371,Joelinton,5.9,5.9,Newcastle,65,2.419,61,2.226,60,2.09,59,1.75,60,3.652,58,1.969,57,1.599
M,159,J.Ayew,5.2,5.2,Crystal Palace,66,2.788,67,2.763,64,2.494,58,1.847,55,1.845,57,1.837,56,1.871
G,152,Guaita,4.4,4.4,Crystal Palace,0,0.006,0,-0.002,7,1.038,39,1.295,72,4.245,86,3.864,86,4.929
D,691,Wöber,4.4,4.4,Leeds,60,1.871,72,2.788,71,2.695,68,1.439,66,2.032,68,2.339,66,2.126
M,562,Solomon,4.9,4.9,Fulham,41,2.191,45,1.838,45,3.427,47,1.953,46,2.209,44,1.885,42,1.749
D,404,Stephens,4.3,4.3,Bournemouth,80,2.878,0,-0.05,75,2.771,73,2.466,73,2.448,72,2.024,71,2.596
F,30,Ings,6.4,6.4,West Ham,59,2.171,59,1.957,56,3.659,55,1.811,55,1.826,53,1.905,51,1.761
M,304,Sterling,9.7,9.7,Chelsea,0,0.0,55,2.265,53,1.921,56,2.457,55,2.486,52,3.814,50,1.865
M,275,Henderson,5.3,5.3,Liverpool,62,2.501,60,1.911,59,3.815,57,1.777,53,1.528,54,1.57,52,1.603
D,730,Felipe,4.5,4.5,Nott'm Forest,86,1.576,81,1.949,77,2.049,76,3.191,72,1.999,71,1.673,70,2.26
F,80,Toney,7.7,7.7,Brentford,77,4.793,37,2.197,26,1.912,24,1.745,17,1.594,11,1.423,7,1.002
D,239,Firpo,4.5,4.5,Leeds,74,2.777,72,2.82,67,2.517,65,1.326,63,1.801,60,1.715,59,1.518
F,411,Adams,6.0,6.0,Southampton,2,1.029,21,1.398,37,1.477,65,2.781,68,3.063,64,2.343,63,2.323
M,160,Zaha,7.2,7.2,Crystal Palace,0,-0.035,0,-0.051,8,1.111,37,1.597,67,3.469,77,3.943,76,4.377
D,26,Saliba,5.0,5.0,Arsenal,0,-0.065,11,0.968,35,1.137,52,1.239,79,2.782,78,3.99,77,4.243
M,688,Schade,4.9,4.9,Brentford,46,1.531,56,1.823,58,2.319,60,1.962,58,2.146,59,2.049,62,2.278
M,311,Bernardo,6.7,6.7,Man City,0,0.0,52,1.609,49,3.573,49,1.837,51,2.011,51,3.264,50,1.747
M,53,Kamara,4.8,4.8,Aston Villa,9,0.955,36,1.138,72,2.333,73,2.585,72,2.468,70,2.244,69,2.307
M,446,Kulusevski,7.8,7.8,Spurs,57,1.93,57,1.991,56,1.872,57,2.183,55,1.964,55,2.021,54,2.067
F,166,Edouard,5.0,5.0,Crystal Palace,59,2.106,61,2.307,60,2.067,59,1.997,54,1.874,53,1.809,53,1.854
M,259,Tielemans,6.1,6.1,Leicester,68,2.771,63,2.278,60,2.009,57,1.791,59,1.656,58,1.658,58,1.841
M,698,Lemina,4.5,4.5,Wolves,71,2.294,67,2.216,66,1.948,63,1.941,65,1.924,62,2.007,61,1.67
D,628,Aurier,4.3,4.3,Nott'm Forest,15,1.089,35,1.147,45,1.23,68,3.436,70,2.497,66,1.847,68,2.727
D,507,Niakhaté,4.3,4.3,Nott'm Forest,8,1.065,47,1.184,75,2.1,74,3.228,73,2.138,68,1.744,72,2.452
D,448,Perišić,5.3,5.3,Spurs,80,3.078,66,2.664,60,1.711,51,1.798,44,1.478,39,1.51,38,1.643
M,705,Ouattara,5.0,5.0,Bournemouth,57,2.107,55,2.169,57,2.285,53,1.841,51,1.783,50,1.689,50,1.93
F,262,Iheanacho,5.9,5.9,Leicester,45,2.042,42,2.068,40,2.073,40,1.997,41,1.758,43,1.732,44,1.983
F,458,Antonio,7.0,7.0,West Ham,44,1.832,43,1.545,45,3.207,46,1.66,43,1.67,43,1.829,45,1.755
D,308,Aké,5.1,5.1,Man City,0,0.0,53,1.474,52,3.365,54,1.878,52,1.724,54,3.242,52,1.565
D,109,Veltman,4.6,4.6,Brighton,0,0.0,29,1.309,46,2.696,53,1.922,52,2.653,54,3.183,51,1.463
M,47,Ramsey,5.2,5.2,Aston Villa,71,3.015,66,2.804,55,1.608,51,1.605,52,1.481,51,1.375,50,1.324
M,589,Matheus,4.8,4.8,Wolves,64,2.255,62,2.237,58,1.647,58,1.776,58,1.703,59,1.89,59,1.696
M,519,Eriksen,6.2,6.2,Man Utd,0,0.0,44,1.593,45,3.097,43,1.682,44,1.72,43,3.361,42,1.73
F,279,Firmino,8.0,8.0,Liverpool,20,1.653,22,1.627,21,3.272,21,1.612,21,1.639,22,1.618,25,1.722
D,513,Lenglet,4.8,4.8,Spurs,63,1.837,70,2.427,64,1.629,63,2.563,54,1.472,54,1.487,53,1.548
M,282,Fabinho,5.2,5.2,Liverpool,69,2.506,52,1.2,51,2.417,62,1.877,59,1.554,58,1.54,60,1.767
M,266,Dewsbury-Hall,4.9,4.9,Leicester,64,2.4,59,1.893,57,1.821,58,1.819,57,1.584,57,1.597,58,1.748
D,457,Cresswell,4.7,4.7,West Ham,57,1.929,59,1.612,56,3.184,56,1.612,52,1.426,51,1.583,52,1.511
F,618,Vinícius,5.4,5.4,Fulham,71,3.392,38,1.527,44,2.821,42,1.605,8,1.165,7,1.109,8,1.081
M,111,Trossard,6.7,6.7,Arsenal,38,2.0,38,1.623,36,1.789,34,1.666,37,1.659,38,2.005,36,1.909
M,225,Rodrigo,6.3,6.3,Leeds,55,2.123,49,1.885,48,1.966,46,1.534,45,1.566,43,1.807,46,1.739
D,341,Wan-Bissaka,4.3,4.3,Man Utd,0,0.0,50,1.573,48,2.967,45,1.507,47,1.626,49,3.282,49,1.656
F,701,Weghorst,5.5,5.5,Man Utd,0,0.0,34,1.536,34,3.046,33,1.621,30,1.555,32,3.169,32,1.654
D,5,Holding,4.2,4.2,Arsenal,81,4.473,69,1.804,50,1.431,38,1.208,20,1.168,24,1.26,22,1.232
F,123,Undav,5.0,5.0,Brighton,0,0.0,19,1.53,17,2.941,13,1.486,12,2.588,11,2.615,13,1.389
