Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,185,A.Doucouré,5.3,5.3,Everton,76,2.75,75,3.398,73,3.268
D,302,Stones,5.6,5.6,Man City,46,1.466,63,5.394,61,2.532
M,609,Antony,7.3,7.3,Man Utd,63,2.858,60,4.474,57,2.047
M,468,Soucek,5.0,5.0,West Ham,75,2.954,74,3.202,76,3.098
F,356,Wilson,7.1,7.1,Newcastle,58,4.885,49,2.301,51,2.063
F,394,Johnson,5.5,5.5,Nott'm Forest,78,3.221,74,2.911,71,3.071
F,103,Welbeck,6.5,6.5,Brighton,40,3.516,39,3.773,36,1.862
M,480,Neves,5.2,5.2,Wolves,71,2.845,69,3.129,69,3.023
M,159,J.Ayew,5.2,5.2,Crystal Palace,74,3.045,70,2.862,70,3.05
D,457,Cresswell,4.7,4.7,West Ham,69,3.013,66,3.278,65,2.658
F,145,Havertz,7.4,7.4,Chelsea,53,2.467,53,4.407,52,2.059
G,578,Robles,4.0,4.0,Leeds,80,2.873,78,2.985,76,3.037
M,467,Rice,4.7,4.7,West Ham,84,2.847,82,3.09,80,2.893
D,470,Diop,4.3,4.3,Fulham,77,3.166,76,3.389,75,2.23
M,433,Højbjerg,5.3,5.3,Spurs,85,2.848,83,2.919,83,2.974
D,199,Tarkowski,4.1,4.1,Everton,87,1.868,83,3.332,82,3.524
D,39,Mings,4.8,4.8,Aston Villa,86,3.326,83,2.417,80,2.888
G,401,McCarthy,4.3,4.3,Southampton,84,3.377,84,2.557,83,2.688
M,46,Douglas Luiz,4.8,4.8,Aston Villa,78,3.247,73,2.672,70,2.664
D,272,W.Fofana,4.3,4.3,Chelsea,40,1.259,77,4.543,71,2.742
D,694,Álex Moreno,4.5,4.5,Aston Villa,72,3.416,68,2.424,67,2.66
M,88,Jensen,4.8,4.8,Brentford,76,3.219,72,2.809,69,2.461
D,209,Tosin,4.4,4.4,Fulham,83,3.01,80,3.236,79,2.138
M,300,Gündogan,7.3,7.3,Man City,56,2.535,49,3.837,49,1.994
M,614,Willian,5.5,5.5,Fulham,67,3.207,63,2.839,61,2.299
G,729,Navas,4.5,4.5,Nott'm Forest,89,2.807,88,2.487,86,2.918
D,217,Robinson,4.4,4.4,Fulham,80,2.986,76,3.175,75,2.052
D,526,Mee,4.9,4.9,Brentford,88,3.276,85,2.681,84,2.188
M,37,McGinn,5.1,5.1,Aston Villa,80,2.988,74,2.558,72,2.585
D,92,Pinnock,4.4,4.4,Brentford,87,3.269,83,2.67,80,2.182
M,514,C.Doucouré,5.0,5.0,Crystal Palace,79,2.782,76,2.619,73,2.712
D,215,Tete,4.4,4.4,Fulham,73,2.938,71,3.091,69,2.066
M,304,Sterling,9.7,9.7,Chelsea,47,2.128,54,4.014,53,1.93
F,458,Antonio,7.0,7.0,West Ham,55,1.913,69,3.307,67,2.831
D,141,Chalobah,4.4,4.4,Chelsea,71,3.537,60,3.227,48,1.205
D,432,Davies,4.7,4.7,Spurs,76,2.654,69,2.657,68,2.642
M,64,Lerma,4.7,4.7,Bournemouth,81,2.695,78,2.554,78,2.658
M,134,Kanté,4.8,4.8,Chelsea,61,2.322,61,3.83,58,1.741
M,693,Alcaraz,5.0,5.0,Southampton,68,3.21,66,2.45,62,2.214
D,443,Romero,4.9,4.9,Spurs,86,2.482,82,2.713,81,2.676
F,682,Cunha,5.3,5.3,Wolves,65,2.613,64,2.843,62,2.367
D,73,Kelly,4.3,4.3,Bournemouth,85,2.899,82,2.302,80,2.597
D,85,Henry,4.4,4.4,Brentford,79,3.163,76,2.529,75,2.024
F,345,Martial,6.3,6.3,Man Utd,48,1.985,39,3.802,33,1.916
M,552,Anderson,4.3,4.3,Newcastle,21,3.984,19,1.973,17,1.729
D,459,Dawson,4.8,4.8,Wolves,74,2.234,75,3.41,76,2.0
F,397,Awoniyi,5.6,5.6,Nott'm Forest,64,2.66,64,2.497,61,2.443
D,258,Castagne,4.3,4.3,Leicester,84,2.26,81,2.181,77,3.115
M,259,Tielemans,6.1,6.1,Leicester,72,2.489,71,2.415,70,2.636
M,211,Reed,4.3,4.3,Fulham,72,2.696,68,2.564,66,2.192
M,245,Roca,4.8,4.8,Leeds,67,2.249,72,2.619,69,2.556
M,69,Christie,5.3,5.3,Bournemouth,67,2.628,66,2.43,63,2.361
M,282,Fabinho,5.2,5.2,Liverpool,73,2.433,71,2.468,70,2.513
F,690,João Félix,7.1,7.1,Chelsea,37,2.065,39,3.579,39,1.757
D,57,Smith,4.3,4.3,Bournemouth,83,2.752,81,2.18,78,2.459
D,484,Kilman,4.3,4.3,Wolves,79,2.158,76,3.365,72,1.834
M,86,Janelt,5.5,5.5,Brentford,70,2.776,64,2.295,65,2.174
D,576,Senesi,4.4,4.4,Bournemouth,76,2.756,71,2.119,70,2.339
M,293,Luis Díaz,7.8,7.8,Liverpool,56,2.665,41,2.16,44,2.371
M,365,Murphy,4.2,4.2,Newcastle,34,3.575,36,1.868,32,1.74
M,275,Henderson,5.3,5.3,Liverpool,66,2.59,65,2.524,60,2.064
D,718,Viña,4.5,4.5,Bournemouth,67,2.612,67,2.147,67,2.396
D,194,Mykolenko,4.1,4.1,Everton,83,1.637,72,2.743,67,2.716
M,220,Palhinha,4.9,4.9,Fulham,83,2.474,78,2.475,76,2.134
M,291,Jones,4.9,4.9,Liverpool,67,2.666,62,2.317,59,2.096
M,611,Gueye,4.7,4.7,Everton,74,2.188,71,2.42,69,2.446
M,311,Bernardo,6.7,6.7,Man City,55,2.132,48,3.204,50,1.718
D,197,Patterson,3.9,3.9,Everton,78,1.692,71,2.763,65,2.581
M,464,Benrahma,5.5,5.5,West Ham,51,2.164,53,2.565,51,2.301
M,368,Saint-Maximin,6.1,6.1,Newcastle,36,3.458,44,1.815,48,1.752
D,691,Wöber,4.4,4.4,Leeds,85,2.25,81,2.374,76,2.346
D,409,Walker-Peters,4.4,4.4,Southampton,87,3.093,84,1.851,82,2.017
M,321,Lavia,4.5,4.5,Southampton,79,2.548,75,2.134,74,2.202
M,369,Almirón,5.4,5.4,Newcastle,50,3.427,49,1.763,45,1.585
M,589,Matheus,4.8,4.8,Wolves,65,2.231,64,2.361,65,2.118
F,288,Diogo Jota,8.7,8.7,Liverpool,52,2.185,54,2.18,53,2.315
M,212,Wilson,5.7,5.7,Fulham,60,2.417,56,2.128,58,2.077
D,507,Niakhaté,4.3,4.3,Nott'm Forest,83,2.338,79,1.795,79,2.489
D,188,Mina,4.3,4.3,Everton,61,1.408,65,2.612,63,2.574
D,510,Hickey,4.9,4.9,Brentford,69,2.655,71,2.243,66,1.694
M,708,Madueke,5.4,5.4,Chelsea,51,1.974,38,3.097,37,1.518
D,628,Aurier,4.3,4.3,Nott'm Forest,55,1.491,84,2.103,79,2.971
D,309,Laporte,5.6,5.6,Man City,57,2.4,42,2.76,42,1.398
D,730,Felipe,4.5,4.5,Nott'm Forest,86,2.303,84,1.764,82,2.485
D,410,Bednarek,4.2,4.2,Southampton,85,2.931,81,1.698,78,1.855
D,109,Veltman,4.6,4.6,Brighton,26,2.081,47,2.656,57,1.73
D,612,Faes,4.2,4.2,Leicester,84,1.935,80,1.87,77,2.64
D,222,Ayling,4.5,4.5,Leeds,70,2.143,68,2.14,66,2.102
M,720,McKennie,4.6,4.6,Leeds,65,2.019,68,2.251,65,2.092
D,44,Konsa,4.4,4.4,Aston Villa,72,2.851,66,1.902,58,1.588
D,230,Koch,4.5,4.5,Leeds,86,2.039,82,2.132,78,2.161
D,513,Lenglet,4.8,4.8,Spurs,54,1.43,67,2.508,65,2.389
D,308,Aké,5.0,5.0,Man City,27,1.291,50,3.041,56,1.969
F,255,Vardy,9.1,9.1,Leicester,65,2.381,60,1.932,53,1.942
M,21,Maitland-Niles,4.8,4.8,Southampton,69,2.447,66,2.046,61,1.76
D,482,Semedo,5.0,5.0,Wolves,71,1.845,69,2.848,66,1.519
M,698,Lemina,4.5,4.5,Wolves,67,2.102,66,2.246,64,1.851
M,53,Kamara,4.8,4.8,Aston Villa,50,1.282,77,2.444,74,2.457
M,728,Sabitzer,4.7,4.7,Man Utd,35,1.561,34,3.067,34,1.556
M,536,Mangala,4.9,4.9,Nott'm Forest,67,2.193,66,2.029,63,1.959
F,454,Richarlison,8.4,8.4,Spurs,54,2.036,53,2.035,53,2.091
M,699,Mudryk,6.5,6.5,Chelsea,52,1.737,50,2.857,48,1.407
M,149,Gilmour,4.2,4.2,Brighton,33,2.41,31,2.503,25,1.0
F,297,Darwin,8.6,8.6,Liverpool,27,1.623,41,2.064,41,2.156
D,299,Walker,4.7,4.7,Man City,28,1.17,54,3.157,52,1.506
F,701,Weghorst,5.4,5.4,Man Utd,35,1.717,29,2.952,23,1.146
F,210,Mitrović,6.6,6.6,Fulham,49,2.045,50,1.94,48,1.819
D,267,Söyüncü,4.2,4.2,Leicester,72,2.041,68,1.932,59,1.829
D,127,Azpilicueta,4.7,4.7,Chelsea,55,1.95,49,2.579,45,1.213
M,505,Rothwell,4.9,4.9,Bournemouth,60,1.822,61,1.916,61,1.984
M,705,Ouattara,5.0,5.0,Bournemouth,53,1.994,52,1.779,47,1.904
D,341,Wan-Bissaka,4.3,4.3,Man Utd,34,1.417,36,2.808,36,1.418
D,588,Kehrer,4.3,4.3,West Ham,65,2.236,59,2.151,47,1.233
M,400,Walcott,4.8,4.8,Southampton,60,2.237,55,1.699,55,1.67
F,411,Adams,6.0,6.0,Southampton,39,1.746,58,1.913,59,1.931
M,661,Hall,4.3,4.3,Chelsea,43,1.49,45,2.742,34,1.348
M,111,Trossard,6.6,6.6,Arsenal,39,1.66,42,1.997,42,1.917
M,569,Garnacho,4.1,4.1,Man Utd,21,1.453,21,2.863,17,1.185
D,239,Firpo,4.5,4.5,Leeds,69,2.074,64,1.974,56,1.452
M,130,Jorginho,5.7,5.7,Arsenal,61,1.828,57,1.771,59,1.849
M,47,Ramsey,5.1,5.1,Aston Villa,60,2.167,55,1.658,54,1.615
F,271,Daka,5.6,5.6,Leicester,35,1.768,35,1.747,33,1.918
M,704,Sarabia,4.9,4.9,Wolves,32,1.779,34,1.979,34,1.643
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,57,1.445,71,1.617,70,2.28
F,30,Ings,6.3,6.3,West Ham,40,1.693,34,1.846,35,1.762
F,625,Diego Costa,5.3,5.3,Wolves,57,1.812,53,1.8,56,1.663
M,269,Soumaré,4.4,4.4,Leicester,64,1.766,61,1.569,63,1.826
D,448,Perišić,5.3,5.3,Spurs,50,1.666,47,1.699,43,1.743
M,715,Tetê,4.9,4.9,Leicester,50,1.692,46,1.621,47,1.795
F,618,Vinícius,5.4,5.4,Fulham,51,1.827,48,1.677,49,1.585
M,161,Schlupp,4.7,4.7,Crystal Palace,45,1.372,58,1.861,56,1.815
M,446,Kulusevski,7.8,7.8,Spurs,37,1.602,35,1.638,34,1.793
M,29,Coutinho,6.6,6.6,Aston Villa,33,1.726,39,1.642,44,1.664
M,45,Bailey,4.3,4.3,Aston Villa,34,1.788,35,1.619,37,1.595
M,195,Gordon,5.1,5.1,Newcastle,23,2.421,23,1.267,27,1.313
M,441,Skipp,4.3,4.3,Spurs,68,2.233,56,1.507,45,1.22
M,486,Neto,4.9,4.9,Wolves,46,1.602,45,1.766,46,1.556
M,688,Schade,4.9,4.9,Brentford,50,1.617,52,1.694,49,1.492
D,445,Emerson Royal,4.8,4.8,Spurs,36,1.315,50,1.457,58,2.003
F,619,Gnonto,4.7,4.7,Leeds,51,1.42,54,1.689,52,1.664
M,89,Wissa,5.3,5.3,Brentford,29,1.5,36,1.684,41,1.532
M,731,Kamaldeen,4.9,4.9,Southampton,43,1.676,41,1.483,39,1.519
M,200,Cairney,4.7,4.7,Fulham,55,1.731,52,1.494,53,1.445
M,132,Kovacic,4.9,4.9,Chelsea,41,1.258,42,2.259,45,1.142
M,189,Gray,5.2,5.2,Everton,32,1.35,35,1.562,37,1.671
M,562,Solomon,4.9,4.9,Fulham,25,1.415,30,1.649,29,1.448
M,75,Anthony,5.2,5.2,Bournemouth,32,1.492,36,1.392,36,1.555
M,83,Dasilva,4.1,4.1,Brentford,40,1.51,38,1.508,39,1.375
M,240,Summerville,4.2,4.2,Leeds,45,1.378,44,1.479,46,1.492
M,483,Podence,5.2,5.2,Wolves,33,1.423,33,1.627,30,1.268
M,93,Onyeka,4.8,4.8,Brentford,40,1.447,48,1.51,44,1.354
M,481,Hwang,5.7,5.7,Wolves,33,1.405,35,1.514,38,1.376
F,617,Aubameyang,8.4,8.4,Chelsea,16,0.926,21,2.207,23,1.142
M,294,Elliott,4.8,4.8,Liverpool,27,1.39,28,1.419,28,1.467
M,405,S.Armstrong,4.7,4.7,Southampton,50,1.56,48,1.312,46,1.3
M,469,Fornals,4.9,4.9,West Ham,28,1.312,28,1.359,30,1.496
M,580,Damsgaard,5.0,5.0,Brentford,32,1.42,32,1.412,36,1.291
M,246,Aaronson,5.3,5.3,Leeds,27,1.18,37,1.468,37,1.474
D,689,Badiashile,5.0,5.0,Chelsea,51,1.536,25,1.841,19,0.745
F,166,Edouard,5.0,5.0,Crystal Palace,28,1.271,29,1.356,30,1.487
D,43,Cash,4.6,4.6,Aston Villa,29,1.116,47,1.182,60,1.802
M,570,Garner,4.5,4.5,Everton,50,1.244,51,1.387,48,1.374
D,430,Dier,5.0,5.0,Spurs,51,1.35,44,1.233,46,1.348
M,163,Hughes,4.8,4.8,Crystal Palace,38,1.319,36,1.288,36,1.323
D,367,Targett,4.7,4.7,Newcastle,18,1.61,26,1.145,27,1.154
M,23,Nelson,4.7,4.7,Arsenal,9,0.879,10,1.313,12,1.7
D,623,Caleta-Car,4.4,4.4,Southampton,53,1.512,50,1.212,43,1.167
D,573,Lewis,3.8,3.8,Man City,49,1.562,16,1.492,17,0.812
M,6,Partey,4.7,4.7,Arsenal,39,1.21,42,1.338,41,1.306
M,205,De Cordova-Reid,5.4,5.4,Fulham,34,1.341,37,1.283,35,1.221
M,491,Adama,5.3,5.3,Wolves,28,1.279,27,1.271,30,1.291
M,224,Forshaw,4.4,4.4,Leeds,52,1.308,47,1.204,51,1.285
M,406,Elyounoussi,5.1,5.1,Southampton,39,1.314,38,1.236,39,1.248
D,489,Toti,3.9,3.9,Wolves,53,1.261,48,1.366,50,1.167
D,504,Malacia,4.2,4.2,Man Utd,20,0.917,21,1.868,22,0.986
D,413,Lyanco,4.4,4.4,Southampton,54,1.448,52,1.158,47,1.122
D,256,Ricardo,4.2,4.2,Leicester,32,1.197,44,1.186,47,1.342
M,575,Cornet,5.9,5.9,West Ham,27,1.264,25,1.222,26,1.235
D,538,Young,4.3,4.3,Aston Villa,53,1.472,38,1.145,28,1.067
D,108,Webster,4.5,4.5,Brighton,0,0.0,33,2.433,46,1.245
M,577,Onana,4.7,4.7,Everton,42,1.156,39,1.233,44,1.265
D,50,Diego Carlos,4.7,4.7,Aston Villa,32,1.225,37,1.192,45,1.224
M,387,Yates,5.0,5.0,Nott'm Forest,45,1.204,43,1.173,44,1.22
D,84,Ajer,4.5,4.5,Brentford,34,1.199,36,1.191,43,1.174
M,583,Kouyaté,4.4,4.4,Nott'm Forest,42,1.159,35,1.132,36,1.2
M,444,Bissouma,4.7,4.7,Spurs,24,0.921,38,1.165,52,1.403
D,244,Kristensen,4.7,4.7,Leeds,40,1.135,45,1.172,43,1.171
D,71,Mepham,4.3,4.3,Bournemouth,39,1.165,41,1.11,42,1.2
D,709,Kristiansen,4.5,4.5,Leicester,47,1.141,39,1.119,36,1.169
M,726,Lukic,4.5,4.5,Fulham,24,1.025,31,1.195,34,1.165
M,331,Fred,5.1,5.1,Man Utd,17,0.793,19,1.743,17,0.827
M,265,Ndidi,4.8,4.8,Leicester,32,1.106,34,1.094,33,1.129
F,237,Greenwood,4.0,4.0,Leeds,36,1.516,17,0.914,16,0.874
D,474,Boly,4.1,4.1,Nott'm Forest,19,0.848,29,1.137,32,1.314
D,388,Worrall,4.2,4.2,Nott'm Forest,45,1.083,35,1.077,35,1.111
M,204,Kebano,5.4,5.4,Fulham,21,1.057,25,1.126,24,1.067
F,110,Maupay,5.6,5.6,Everton,18,0.935,20,1.086,22,1.199
M,479,Dendoncker,4.7,4.7,Aston Villa,36,1.261,24,0.955,24,0.993
D,456,Ogbonna,4.4,4.4,West Ham,24,0.941,26,1.117,28,1.12
D,545,Emerson,4.0,4.0,West Ham,23,0.952,26,1.133,26,1.069
M,549,Praet,4.8,4.8,Leicester,21,0.997,24,1.091,21,1.057
D,516,Collins,4.3,4.3,Wolves,26,0.962,28,1.08,30,1.086
M,67,Cook,4.9,4.9,Bournemouth,26,1.011,26,1.022,26,1.086
M,266,Dewsbury-Hall,4.9,4.9,Leicester,24,0.944,25,1.0,28,1.175
M,135,Ziyech,5.5,5.5,Chelsea,14,0.776,16,1.567,15,0.761
D,249,Evans,4.4,4.4,Leicester,23,0.823,36,1.107,39,1.146
D,180,Keane,4.2,4.2,Everton,22,0.859,30,1.256,22,0.946
D,544,Van Hecke,4.0,4.0,Brighton,15,1.336,13,1.207,11,0.491
D,1,Cédric,4.2,4.2,Fulham,23,0.995,25,1.002,27,1.037
D,530,Richards,4.4,4.4,Crystal Palace,16,0.794,22,1.016,26,1.179
F,408,A.Armstrong,5.3,5.3,Southampton,23,1.024,23,0.96,23,0.938
D,330,Maguire,4.7,4.7,Man Utd,18,0.798,13,1.277,18,0.804
M,734,A.Ayew,5.0,5.0,Nott'm Forest,21,0.895,21,0.912,20,0.926
F,714,Semenyo,5.0,5.0,Bournemouth,13,0.717,19,0.986,18,1.024
D,523,Toffolo,4.3,4.3,Nott'm Forest,33,1.16,20,0.793,19,0.765
M,713,Danjuma,6.1,6.1,Spurs,13,0.711,17,0.871,19,1.113
G,113,Sánchez,4.5,4.5,Brighton,11,0.86,14,1.126,18,0.702
M,136,Loftus-Cheek,5.0,5.0,Chelsea,16,0.76,16,1.274,14,0.575
M,721,João Gomes,4.5,4.5,Wolves,22,0.848,23,0.931,22,0.821
M,18,Sambi,4.3,4.3,Crystal Palace,24,0.928,19,0.78,22,0.86
D,471,Johnson,4.4,4.4,West Ham,28,1.049,21,0.854,15,0.616
M,325,Phillips,4.8,4.8,Man City,23,1.019,10,0.899,13,0.599
D,595,Zanka,3.9,3.9,Brentford,14,0.685,21,0.918,23,0.898
M,94,Baptiste,4.5,4.5,Brentford,14,0.706,18,0.867,20,0.928
D,193,Godfrey,4.3,4.3,Everton,4,0.205,23,0.988,39,1.28
D,65,Stacey,4.2,4.2,Bournemouth,17,0.732,19,0.785,20,0.892
D,33,Digne,4.5,4.5,Aston Villa,16,0.71,21,0.821,21,0.855
M,418,Djenepo,4.9,4.9,Southampton,17,0.828,20,0.857,16,0.671
F,11,Nketiah,6.3,6.3,Arsenal,10,0.482,15,0.773,19,1.094
D,5,Holding,4.2,4.2,Arsenal,12,0.545,18,0.874,20,0.914
M,140,Pulisic,5.6,5.6,Chelsea,11,0.581,12,1.099,12,0.61
M,416,Diallo,4.2,4.2,Southampton,18,0.753,18,0.685,22,0.823
D,105,Duffy,4.2,4.2,Fulham,17,0.74,20,0.759,19,0.739
F,391,Surridge,4.6,4.6,Nott'm Forest,13,0.714,13,0.72,12,0.734
M,25,Fábio Vieira,5.6,5.6,Arsenal,8,0.418,13,0.83,15,0.905
D,292,Tsimikas,4.3,4.3,Liverpool,11,0.62,11,0.575,16,0.933
D,520,Koulibaly,5.5,5.5,Chelsea,0,0.0,13,1.041,29,1.059
