Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,428,Son,11.5,11.5,Spurs,79,4.196,76,4.377
M,301,De Bruyne,12.2,12.2,Man City,55,5.611,56,2.893
M,609,Antony,7.3,7.3,Man Utd,65,5.737,63,2.758
F,28,Jesus,8.1,8.1,Arsenal,76,4.463,73,4.016
G,281,Alisson,5.4,5.4,Liverpool,88,4.356,88,4.096
F,123,Undav,5.0,5.0,Brighton,37,5.652,40,2.7
M,680,Gakpo,7.6,7.6,Liverpool,74,4.144,73,4.192
D,280,Van Dijk,6.6,6.6,Liverpool,86,4.253,84,4.021
D,10,White,5.0,5.0,Arsenal,86,3.698,83,4.538
D,106,Dunk,4.8,4.8,Brighton,85,5.352,81,2.842
D,16,Gabriel,5.2,5.2,Arsenal,86,3.639,82,4.467
G,15,Ramsdale,4.8,4.8,Arsenal,88,3.637,89,4.357
M,261,Maddison,7.8,7.8,Leicester,85,3.537,82,4.39
M,465,Bowen,8.0,8.0,West Ham,80,4.062,77,3.859
D,8,Tierney,4.6,4.6,Arsenal,81,3.593,76,4.269
F,40,Watkins,7.4,7.4,Aston Villa,87,3.824,85,4.021
M,171,Olise,5.3,5.3,Crystal Palace,84,3.758,79,4.07
M,724,Enzo,5.0,5.0,Chelsea,82,5.119,79,2.685
F,95,Mbeumo,5.6,5.6,Brentford,81,4.148,79,3.621
F,594,Isak,7.0,7.0,Newcastle,67,4.019,66,3.722
F,66,Solanke,5.7,5.6,Bournemouth,86,3.776,81,3.94
M,314,Foden,8.0,8.0,Man City,57,5.062,58,2.604
G,376,Pope,5.4,5.4,Newcastle,89,4.047,88,3.613
D,610,Akanji,5.1,5.1,Man City,64,5.842,56,1.817
D,188,Mina,4.3,4.3,Everton,77,3.795,77,3.791
F,125,Enciso,4.6,4.6,Brighton,60,5.058,58,2.492
G,182,Pickford,4.4,4.4,Everton,89,3.737,87,3.75
D,170,Mitchell,4.4,4.4,Crystal Palace,80,3.301,77,4.142
D,377,Botman,4.5,4.5,Newcastle,80,4.003,80,3.436
M,120,Caicedo,5.0,5.0,Brighton,76,5.011,72,2.419
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,83,3.566,78,3.848
G,2,Leno,4.6,4.6,Fulham,86,4.144,85,3.262
G,455,Fabianski,4.9,4.9,West Ham,88,3.765,87,3.564
M,185,A.Doucouré,5.3,5.3,Everton,77,3.735,74,3.58
M,148,Gallagher,5.6,5.6,Chelsea,72,5.561,58,1.719
D,165,Andersen,4.5,4.5,Crystal Palace,86,3.197,82,4.076
D,366,Schär,5.1,5.1,Newcastle,84,3.925,79,3.326
D,128,Thiago Silva,5.4,5.4,Chelsea,78,4.583,70,2.668
M,3,Xhaka,4.8,4.8,Arsenal,76,3.617,75,3.609
D,290,Konaté,4.8,4.8,Liverpool,84,3.761,77,3.46
F,319,Álvarez,6.1,6.1,Man City,54,4.793,51,2.422
M,304,Sterling,9.7,9.7,Chelsea,60,4.838,60,2.36
D,710,Kiwior,4.0,4.0,Arsenal,76,3.232,74,3.954
M,534,McNeil,5.1,5.1,Everton,77,3.776,71,3.366
D,167,Guéhi,4.5,4.5,Crystal Palace,87,3.1,84,3.982
D,156,Ward,4.4,4.4,Crystal Palace,77,3.169,75,3.893
D,272,W.Fofana,4.3,4.3,Chelsea,81,4.428,72,2.599
M,603,Paquetá,5.9,5.9,West Ham,69,3.655,68,3.36
M,111,Trossard,6.6,6.6,Arsenal,68,3.738,64,3.277
M,233,Harrison,5.7,5.7,Leeds,76,3.635,73,3.322
M,300,Gündogan,7.4,7.4,Man City,57,4.553,58,2.401
D,199,Tarkowski,4.1,4.1,Everton,87,3.451,83,3.453
M,186,Iwobi,4.9,4.9,Everton,84,3.372,81,3.423
G,81,Raya,4.8,4.8,Brentford,89,3.603,87,3.142
M,703,Danilo,4.5,4.5,Nott'm Forest,79,3.102,76,3.638
M,264,Barnes,6.6,6.6,Leicester,75,3.131,72,3.552
F,356,Wilson,7.2,7.2,Newcastle,66,3.564,64,3.102
D,472,Aguerd,4.8,4.8,West Ham,83,3.453,81,3.17
D,461,Zouma,4.4,4.4,West Ham,84,3.449,81,3.164
M,371,Joelinton,6.1,6.1,Newcastle,69,3.294,74,3.306
D,733,Pedro Porro,4.8,4.8,Spurs,79,3.283,74,3.293
D,197,Patterson,3.9,3.9,Everton,82,3.29,77,3.266
M,407,Ward-Prowse,6.1,6.1,Southampton,88,3.266,84,3.266
D,358,Burn,4.5,4.5,Newcastle,80,3.582,74,2.933
G,574,Neto,4.5,4.5,Bournemouth,89,3.116,86,3.361
M,374,Bruno Guimarães,5.5,5.5,Newcastle,86,3.382,81,3.078
M,70,Billing,5.1,5.1,Bournemouth,78,3.176,75,3.251
M,340,Sancho,7.1,7.1,Man Utd,53,4.368,46,2.058
G,426,Forster,3.9,3.9,Spurs,89,3.178,87,3.202
M,468,Soucek,5.0,5.0,West Ham,77,3.241,76,3.095
M,159,J.Ayew,5.2,5.2,Crystal Palace,80,3.03,77,3.276
G,578,Robles,4.0,4.0,Leeds,85,3.237,82,3.035
F,458,Antonio,6.9,6.9,West Ham,70,3.388,67,2.864
M,42,Buendía,5.7,5.7,Aston Villa,70,3.3,66,2.841
F,145,Havertz,7.4,7.4,Chelsea,48,4.155,46,1.942
F,345,Martial,6.3,6.3,Man Utd,52,4.017,48,1.99
G,31,Martínez,5.0,5.0,Aston Villa,88,2.791,88,3.215
M,480,Neves,5.2,5.2,Wolves,70,3.111,70,2.856
D,457,Cresswell,4.7,4.7,West Ham,69,3.249,65,2.671
M,467,Rice,4.7,4.7,West Ham,84,2.99,83,2.881
D,470,Diop,4.3,4.3,Fulham,78,3.465,77,2.38
M,433,Højbjerg,5.3,5.3,Spurs,84,2.884,83,2.957
M,46,Douglas Luiz,4.8,4.8,Aston Villa,79,2.844,76,2.93
F,394,Johnson,5.5,5.5,Nott'm Forest,69,2.728,69,3.026
M,89,Wissa,5.3,5.3,Brentford,68,3.232,64,2.514
M,88,Jensen,4.8,4.8,Brentford,77,3.154,73,2.566
F,596,Ferguson,4.6,4.6,Brighton,50,3.835,47,1.874
M,661,Hall,4.3,4.3,Chelsea,62,4.335,32,1.367
G,729,Navas,4.5,4.5,Nott'm Forest,89,2.698,88,2.992
D,463,Coufal,4.0,4.0,West Ham,70,2.971,71,2.697
D,209,Tosin,4.4,4.4,Fulham,81,3.364,79,2.298
M,514,C.Doucouré,5.0,5.0,Crystal Palace,81,2.705,77,2.935
D,513,Lenglet,4.8,4.8,Spurs,77,2.841,74,2.788
M,132,Kovacic,4.9,4.9,Chelsea,61,3.613,62,1.917
M,688,Schade,4.9,4.9,Brentford,67,2.923,66,2.6
D,443,Romero,4.9,4.9,Spurs,85,2.723,82,2.788
F,690,João Félix,7.1,7.1,Chelsea,49,3.721,46,1.785
F,682,Cunha,5.3,5.3,Wolves,67,2.932,65,2.556
M,37,McGinn,5.1,5.1,Aston Villa,79,2.679,77,2.805
D,217,Robinson,4.4,4.4,Fulham,80,3.258,79,2.204
D,39,Mings,4.8,4.8,Aston Villa,86,2.361,82,3.063
M,259,Tielemans,6.1,6.1,Leicester,78,2.642,75,2.773
D,445,Emerson Royal,4.8,4.8,Spurs,65,2.557,68,2.85
D,258,Castagne,4.3,4.3,Leicester,84,2.165,80,3.235
D,222,Ayling,4.5,4.5,Leeds,85,2.804,82,2.549
G,133,Arrizabalaga,4.6,4.6,Chelsea,55,3.4,57,1.943
G,401,McCarthy,4.3,4.3,Southampton,86,2.673,83,2.666
F,397,Awoniyi,5.6,5.6,Nott'm Forest,67,2.686,64,2.649
D,302,Stones,5.6,5.6,Man City,54,3.6,54,1.718
F,103,Welbeck,6.5,6.5,Brighton,37,3.548,35,1.749
D,341,Wan-Bissaka,4.3,4.3,Man Utd,55,3.701,51,1.58
D,459,Dawson,4.8,4.8,Wolves,78,3.247,76,2.032
M,679,Buonanotte,4.5,4.5,Brighton,45,3.556,44,1.719
M,64,Lerma,4.7,4.7,Bournemouth,81,2.563,78,2.679
M,291,Jones,4.9,4.9,Liverpool,67,2.813,61,2.413
M,211,Reed,4.3,4.3,Fulham,73,2.826,68,2.401
D,628,Aurier,4.3,4.3,Nott'm Forest,84,2.251,81,2.963
D,215,Tete,4.4,4.4,Fulham,73,3.202,66,2.011
M,614,Willian,5.5,5.5,Fulham,65,3.015,60,2.185
M,86,Janelt,5.5,5.5,Brentford,72,2.731,69,2.449
M,282,Fabinho,5.2,5.2,Liverpool,74,2.592,73,2.58
D,526,Mee,4.9,4.9,Brentford,88,2.896,85,2.27
D,484,Kilman,4.3,4.3,Wolves,81,3.173,78,1.975
D,432,Davies,4.7,4.7,Spurs,73,2.607,68,2.527
M,305,Grealish,7.2,7.2,Man City,46,3.387,44,1.74
M,293,Luis Díaz,7.8,7.8,Liverpool,57,2.678,48,2.44
M,611,Gueye,4.7,4.7,Everton,74,2.55,71,2.535
M,693,Alcaraz,5.0,5.0,Southampton,68,2.758,63,2.315
M,275,Henderson,5.3,5.3,Liverpool,65,2.582,63,2.475
F,191,Calvert-Lewin,7.9,7.9,Everton,47,1.991,64,3.06
D,92,Pinnock,4.4,4.4,Brentford,86,2.789,83,2.223
M,552,Anderson,4.3,4.3,Newcastle,34,2.906,23,2.087
D,691,Wöber,4.4,4.4,Leeds,87,2.627,77,2.344
D,694,Álex Moreno,4.5,4.5,Aston Villa,72,2.339,66,2.61
M,69,Christie,5.3,5.3,Bournemouth,67,2.501,64,2.406
D,85,Henry,4.4,4.4,Brentford,80,2.714,77,2.177
M,220,Palhinha,4.9,4.9,Fulham,82,2.565,79,2.267
D,244,Kristensen,4.7,4.7,Leeds,77,2.562,70,2.173
M,311,Bernardo,6.7,6.7,Man City,43,3.118,45,1.591
D,230,Koch,4.5,4.5,Leeds,84,2.481,81,2.226
M,21,Maitland-Niles,4.8,4.8,Southampton,82,2.384,75,2.319
M,464,Benrahma,5.5,5.5,West Ham,53,2.508,50,2.184
D,44,Konsa,4.4,4.4,Aston Villa,80,2.033,75,2.653
D,612,Faes,4.2,4.2,Leicester,85,1.852,83,2.816
D,309,Laporte,5.6,5.6,Man City,51,3.258,41,1.408
M,589,Matheus,4.8,4.8,Wolves,65,2.409,67,2.256
D,718,Viña,4.5,4.5,Bournemouth,69,2.208,67,2.457
D,73,Kelly,4.3,4.3,Bournemouth,86,2.086,82,2.548
M,708,Madueke,5.4,5.4,Chelsea,48,3.107,47,1.512
F,262,Iheanacho,5.8,5.8,Leicester,39,1.909,57,2.707
M,47,Ramsey,5.1,5.1,Aston Villa,64,2.328,63,2.28
F,210,Mitrović,6.6,6.6,Fulham,49,1.937,63,2.666
D,249,Evans,4.4,4.4,Leicester,82,1.879,74,2.694
M,321,Lavia,4.5,4.5,Southampton,79,2.229,78,2.263
M,23,Nelson,4.7,4.7,Arsenal,21,2.206,22,2.269
D,507,Niakhaté,4.3,4.3,Nott'm Forest,85,1.961,82,2.49
F,288,Diogo Jota,8.7,8.7,Liverpool,47,1.994,55,2.413
D,482,Semedo,5.0,5.0,Wolves,72,2.708,68,1.672
M,212,Wilson,5.7,5.7,Fulham,58,2.252,58,2.092
M,720,McKennie,4.6,4.6,Leeds,66,2.239,63,2.026
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,77,1.843,76,2.345
M,536,Mangala,4.9,4.9,Nott'm Forest,66,2.086,65,2.096
D,57,Smith,4.3,4.3,Bournemouth,77,1.906,75,2.273
D,409,Walker-Peters,4.4,4.4,Southampton,87,2.161,83,1.997
M,130,Jorginho,5.7,5.7,Arsenal,61,2.09,61,2.065
D,308,Aké,5.0,5.0,Man City,29,2.511,52,1.641
D,730,Felipe,4.5,4.5,Nott'm Forest,86,1.791,82,2.341
M,698,Lemina,4.5,4.5,Wolves,66,2.242,63,1.862
M,570,Garner,4.5,4.5,Everton,62,2.328,56,1.755
D,510,Hickey,4.9,4.9,Brentford,72,2.355,66,1.708
M,699,Mudryk,6.4,6.4,Chelsea,38,2.692,37,1.34
M,705,Ouattara,5.0,5.0,Bournemouth,54,1.949,54,2.076
D,342,Dalot,4.8,4.8,Man Utd,41,2.644,43,1.33
D,256,Ricardo,4.2,4.2,Leicester,63,1.725,61,2.132
D,410,Bednarek,4.2,4.2,Southampton,85,2.002,80,1.832
M,505,Rothwell,4.9,4.9,Bournemouth,62,2.01,60,1.821
D,413,Lyanco,4.4,4.4,Southampton,69,2.08,65,1.717
D,141,Chalobah,4.4,4.4,Chelsea,55,2.623,47,1.163
M,269,Soumaré,4.4,4.4,Leicester,66,1.87,64,1.917
M,369,Almirón,5.4,5.4,Newcastle,57,2.093,50,1.653
M,149,Gilmour,4.2,4.2,Brighton,35,2.52,31,1.224
G,147,Mendy,4.8,4.8,Chelsea,35,2.502,33,1.234
M,53,Kamara,4.8,4.8,Aston Villa,58,1.517,65,2.098
M,704,Sarabia,4.9,4.9,Wolves,32,1.945,31,1.651
M,569,Garnacho,4.1,4.1,Man Utd,18,2.443,17,1.137
M,368,Saint-Maximin,6.1,6.1,Newcastle,44,1.853,45,1.725
M,163,Hughes,4.8,4.8,Crystal Palace,59,1.795,57,1.776
M,45,Bailey,4.3,4.3,Aston Villa,49,1.654,55,1.901
F,255,Vardy,9.1,9.1,Leicester,53,1.775,37,1.763
F,625,Diego Costa,5.3,5.3,Wolves,57,1.851,56,1.679
F,166,Edouard,5.0,5.0,Crystal Palace,55,1.778,51,1.735
M,136,Loftus-Cheek,5.0,5.0,Chelsea,33,2.443,27,1.063
M,400,Walcott,4.8,4.8,Southampton,58,1.806,55,1.657
M,715,Tetê,4.9,4.9,Leicester,31,1.603,32,1.82
F,454,Richarlison,8.4,8.4,Spurs,47,1.588,50,1.815
F,30,Ings,6.3,6.3,West Ham,32,1.738,36,1.652
M,446,Kulusevski,7.8,7.8,Spurs,45,1.611,40,1.778
D,448,Perišić,5.3,5.3,Spurs,36,1.602,36,1.746
F,237,Greenwood,4.0,4.0,Leeds,36,1.67,32,1.666
D,127,Azpilicueta,4.7,4.7,Chelsea,33,2.399,24,0.936
D,109,Veltman,4.6,4.6,Brighton,24,2.052,39,1.265
F,411,Adams,6.0,6.0,Southampton,48,1.565,55,1.743
F,618,Vinícius,5.4,5.4,Fulham,46,1.676,33,1.599
M,200,Cairney,4.7,4.7,Fulham,54,1.716,52,1.543
F,701,Weghorst,5.4,5.4,Man Utd,21,2.068,23,1.156
M,486,Neto,4.9,4.9,Wolves,44,1.667,45,1.48
M,83,Dasilva,4.1,4.1,Brentford,33,1.649,34,1.48
D,544,Van Hecke,4.0,4.0,Brighton,18,2.027,19,1.064
M,240,Summerville,4.2,4.2,Leeds,32,1.532,31,1.527
F,619,Gnonto,4.7,4.7,Leeds,42,1.523,44,1.52
M,365,Murphy,4.2,4.2,Newcastle,22,1.351,30,1.649
M,373,Willock,4.7,4.7,Newcastle,28,1.404,43,1.587
M,294,Elliott,4.8,4.8,Liverpool,27,1.388,29,1.599
M,580,Damsgaard,5.0,5.0,Brentford,37,1.546,40,1.438
M,483,Podence,5.1,5.1,Wolves,31,1.596,31,1.38
M,75,Anthony,5.2,5.2,Bournemouth,33,1.427,36,1.548
M,444,Bissouma,4.7,4.7,Spurs,56,1.518,54,1.444
F,110,Maupay,5.6,5.6,Everton,34,1.711,23,1.224
M,731,Kamaldeen,4.9,4.9,Southampton,42,1.439,42,1.475
M,246,Aaronson,5.3,5.3,Leeds,42,1.423,40,1.414
M,93,Onyeka,4.8,4.8,Brentford,48,1.452,46,1.354
D,520,Koulibaly,5.5,5.5,Chelsea,22,1.666,45,1.137
M,405,S.Armstrong,4.7,4.7,Southampton,49,1.392,47,1.4
M,562,Solomon,4.9,4.9,Fulham,28,1.306,30,1.48
M,481,Hwang,5.7,5.7,Wolves,38,1.433,40,1.325
M,189,Gray,5.1,5.1,Everton,27,1.343,28,1.393
M,195,Gordon,5.1,5.1,Newcastle,27,1.432,25,1.277
M,6,Partey,4.7,4.7,Arsenal,40,1.368,43,1.329
F,279,Firmino,8.0,8.0,Liverpool,20,1.223,23,1.455
G,478,Sá,5.0,5.0,Wolves,47,1.389,43,1.278
D,576,Senesi,4.4,4.4,Bournemouth,54,1.27,54,1.377
M,469,Fornals,4.9,4.9,West Ham,26,1.294,28,1.353
D,192,Holgate,4.2,4.2,Everton,42,1.281,34,1.317
D,180,Keane,4.2,4.2,Everton,41,1.27,40,1.304
D,43,Cash,4.6,4.6,Aston Villa,46,1.169,52,1.361
M,577,Onana,4.7,4.7,Everton,38,1.248,40,1.277
M,387,Yates,5.0,5.0,Nott'm Forest,47,1.25,47,1.275
D,489,Toti,3.9,3.9,Wolves,50,1.349,48,1.147
M,406,Elyounoussi,5.1,5.1,Southampton,38,1.237,38,1.254
M,205,De Cordova-Reid,5.4,5.4,Fulham,34,1.252,37,1.223
M,224,Forshaw,4.4,4.4,Leeds,45,1.212,39,1.186
D,573,Lewis,3.8,3.8,Man City,19,1.708,15,0.684
M,479,Dendoncker,4.7,4.7,Aston Villa,34,1.215,29,1.131
M,18,Sambi,4.3,4.3,Crystal Palace,39,1.143,37,1.199
M,583,Kouyaté,4.4,4.4,Nott'm Forest,31,1.137,32,1.192
M,441,Skipp,4.3,4.3,Spurs,39,1.129,42,1.198
D,221,Cooper,4.4,4.4,Leeds,36,1.162,36,1.157
F,11,Nketiah,6.3,6.3,Arsenal,19,1.045,24,1.265
D,71,Mepham,4.3,4.3,Bournemouth,36,1.121,34,1.187
M,549,Praet,4.8,4.8,Leicester,23,1.055,25,1.25
M,491,Adama,5.3,5.3,Wolves,25,1.154,26,1.137
D,538,Young,4.3,4.3,Aston Villa,43,1.141,40,1.146
D,235,Struijk,4.5,4.5,Leeds,41,1.214,27,1.065
D,623,Caleta-Car,4.4,4.4,Southampton,29,1.1,34,1.17
M,331,Fred,5.1,5.1,Man Utd,16,1.447,17,0.82
F,168,Mateta,5.1,5.1,Crystal Palace,19,1.066,20,1.194
M,265,Ndidi,4.8,4.8,Leicester,43,1.089,39,1.143
M,575,Cornet,5.9,5.9,West Ham,22,1.048,24,1.175
D,388,Worrall,4.2,4.2,Nott'm Forest,47,1.079,48,1.122
D,595,Zanka,3.9,3.9,Brentford,26,1.1,29,1.099
D,367,Targett,4.7,4.7,Newcastle,21,1.0,27,1.178
M,726,Lukic,4.5,4.5,Fulham,25,1.003,32,1.171
M,338,McTominay,4.9,4.9,Man Utd,14,1.3,19,0.86
D,709,Kristiansen,4.5,4.5,Leicester,27,1.011,29,1.146
D,194,Mykolenko,4.1,4.1,Everton,20,0.828,47,1.309
D,545,Emerson,4.0,4.0,West Ham,23,1.027,24,1.034
D,456,Ogbonna,4.4,4.4,West Ham,22,0.976,26,1.082
M,67,Cook,4.9,4.9,Bournemouth,25,0.956,28,1.098
M,135,Ziyech,5.5,5.5,Chelsea,14,1.426,12,0.625
D,330,Maguire,4.7,4.7,Man Utd,13,1.199,19,0.845
M,25,Fábio Vieira,5.6,5.6,Arsenal,14,0.878,18,1.093
D,84,Ajer,4.5,4.5,Brentford,23,0.903,28,1.06
D,1,Cédric,4.2,4.2,Fulham,21,0.887,28,1.075
M,94,Baptiste,4.5,4.5,Brentford,21,0.974,20,0.962
M,154,McArthur,4.8,4.8,Crystal Palace,20,0.846,23,1.044
M,204,Kebano,5.4,5.4,Fulham,20,0.92,21,0.971
M,325,Phillips,4.8,4.8,Man City,15,1.398,11,0.492
M,266,Dewsbury-Hall,4.9,4.9,Leicester,17,0.72,27,1.165
D,530,Richards,4.4,4.4,Crystal Palace,16,0.76,22,1.091
F,408,A.Armstrong,5.3,5.3,Southampton,22,0.919,21,0.922
M,134,Kanté,4.8,4.8,Chelsea,9,0.775,26,1.052
D,430,Dier,5.0,5.0,Spurs,14,0.625,28,1.2
D,50,Diego Carlos,4.7,4.7,Aston Villa,20,0.788,26,0.999
M,721,João Gomes,4.5,4.5,Wolves,24,0.991,21,0.76
M,12,Smith Rowe,5.6,5.6,Arsenal,11,0.81,15,0.887
F,271,Daka,5.6,5.6,Leicester,15,0.827,13,0.862
D,139,Chilwell,5.6,5.6,Chelsea,4,0.447,32,1.237
D,588,Kehrer,4.3,4.3,West Ham,19,0.818,21,0.854
M,734,A.Ayew,5.0,5.0,Nott'm Forest,19,0.815,18,0.851
D,108,Webster,4.5,4.5,Brighton,8,0.709,24,0.932
D,33,Digne,4.5,4.5,Aston Villa,18,0.726,23,0.891
D,516,Collins,4.3,4.3,Wolves,19,0.78,22,0.777
D,5,Holding,4.2,4.2,Arsenal,13,0.709,19,0.847
F,700,Rutter,5.0,5.0,Leeds,14,0.699,17,0.821
M,245,Roca,4.8,4.8,Leeds,10,0.516,23,1.003
D,504,Malacia,4.2,4.2,Man Utd,10,0.894,13,0.618
F,732,Onuachu,5.3,5.3,Southampton,16,0.781,14,0.725
D,727,Souttar,4.5,4.5,Leicester,15,0.614,19,0.879
D,90,Roerslev,4.3,4.3,Brentford,13,0.585,19,0.814
M,713,Danjuma,6.1,6.1,Spurs,12,0.638,15,0.755
G,324,Ortega,3.8,3.8,Man City,12,0.921,11,0.445
D,105,Duffy,4.2,4.2,Fulham,17,0.654,19,0.709
M,140,Pulisic,5.6,5.6,Chelsea,10,0.893,10,0.443
D,65,Stacey,4.2,4.2,Bournemouth,13,0.557,18,0.778
M,725,Ahamada,4.5,4.5,Crystal Palace,12,0.62,13,0.704
D,474,Boly,4.1,4.1,Nott'm Forest,10,0.382,20,0.888
D,157,Clyne,4.5,4.5,Crystal Palace,13,0.543,16,0.719
D,292,Tsimikas,4.3,4.3,Liverpool,9,0.383,14,0.868
M,370,S.Longstaff,4.3,4.3,Newcastle,10,0.522,16,0.729
D,523,Toffolo,4.3,4.3,Nott'm Forest,16,0.613,15,0.635
M,274,Milner,4.4,4.4,Liverpool,10,0.436,14,0.762
M,616,Zakaria,4.9,4.9,Chelsea,11,0.881,7,0.314
D,239,Firpo,4.5,4.5,Leeds,0,0.0,42,1.191
D,257,Amartey,3.9,3.9,Leicester,10,0.473,12,0.682
M,416,Diallo,4.2,4.2,Southampton,14,0.557,15,0.597
D,112,Cucurella,4.9,4.9,Chelsea,6,0.445,18,0.699
F,62,Moore,4.9,4.9,Bournemouth,9,0.472,12,0.671
M,582,Freuler,4.9,4.9,Nott'm Forest,12,0.489,15,0.639
F,391,Surridge,4.6,4.6,Nott'm Forest,9,0.543,9,0.579
M,418,Djenepo,4.9,4.9,Southampton,11,0.475,16,0.633
M,278,Chamberlain,4.9,4.9,Liverpool,7,0.519,7,0.584
D,477,Jonny,4.3,4.3,Wolves,12,0.534,15,0.564
D,435,Sánchez,4.2,4.2,Spurs,13,0.597,10,0.486
M,509,Downes,4.2,4.2,West Ham,10,0.459,13,0.609
D,689,Badiashile,5.0,5.0,Chelsea,8,0.662,9,0.403
M,503,Moutinho,4.6,4.6,Wolves,11,0.543,12,0.511
D,276,Matip,5.9,5.9,Liverpool,8,0.326,13,0.665
M,231,James,5.9,5.9,Fulham,8,0.422,11,0.564
M,34,Traoré,4.9,4.9,Aston Villa,10,0.473,10,0.51
M,142,Mount,7.2,7.2,Chelsea,3,0.355,11,0.624
M,316,Palmer,4.2,4.2,Man City,6,0.655,6,0.296
F,585,Dennis,5.6,5.6,Nott'm Forest,6,0.342,11,0.593
D,286,Gomez,4.3,4.3,Liverpool,6,0.283,12,0.6
M,60,Brooks,5.3,5.3,Bournemouth,9,0.311,12,0.564
D,146,James,5.8,5.8,Chelsea,1,0.146,12,0.726
F,686,Simms,4.5,4.5,Everton,7,0.464,5,0.397
D,363,Manquillo,4.2,4.2,Newcastle,11,0.562,6,0.252
M,512,Aribo,5.0,5.0,Southampton,8,0.294,12,0.518
M,651,Moran,4.5,4.5,Brighton,6,0.528,8,0.28
M,87,Ghoddos,4.8,4.8,Brentford,8,0.396,9,0.395
M,296,Carvalho,5.1,5.1,Liverpool,5,0.368,4,0.392
D,362,Dummett,3.9,3.9,Newcastle,7,0.348,9,0.376
F,617,Aubameyang,8.4,8.4,Chelsea,2,0.447,3,0.27
M,431,Lucas Moura,5.8,5.8,Spurs,5,0.227,9,0.445
D,587,Sergio Gómez,4.4,4.4,Man City,3,0.432,4,0.236
M,359,Fraser,5.2,5.2,Newcastle,7,0.37,5,0.257
M,629,Traoré,4.3,4.3,Wolves,7,0.338,8,0.284
M,190,Davies,4.9,4.9,Everton,2,0.165,7,0.402
D,270,Thomas,3.9,3.9,Leicester,5,0.196,9,0.362
M,460,Lanzini,5.0,5.0,West Ham,4,0.284,4,0.266
F,476,Jiménez,6.5,6.5,Wolves,3,0.285,4,0.258
M,347,Pellistri,4.3,4.3,Man Utd,3,0.324,4,0.214
G,238,Meslier,4.5,4.5,Leeds,5,0.215,8,0.282
M,450,Sarr,4.2,4.2,Spurs,3,0.158,6,0.312
M,79,Nørgaard,5.3,5.3,Brentford,0,0.0,11,0.468
D,487,Aït-Nouri,4.1,4.1,Wolves,4,0.235,5,0.21
M,161,Schlupp,4.7,4.7,Crystal Palace,0,0.0,9,0.44
M,48,Chukwuemeka,4.2,4.2,Chelsea,4,0.328,2,0.102
D,32,Chambers,4.2,4.2,Aston Villa,3,0.156,6,0.262
D,471,Johnson,4.4,4.4,West Ham,3,0.164,6,0.242
D,613,Kurzawa,4.3,4.3,Fulham,5,0.201,5,0.183
G,213,Rodák,4.3,4.3,Fulham,4,0.17,5,0.197
M,527,Lingard,5.4,5.4,Nott'm Forest,3,0.177,4,0.19
F,297,Darwin,8.6,8.6,Liverpool,0,0.0,5,0.36
G,422,Bazunu,4.4,4.4,Southampton,4,0.121,7,0.234
M,164,Riedewald,4.2,4.2,Crystal Palace,3,0.123,4,0.231
