ID,Name,Pos,Team,Price,22_fix,22_xmins,22_pts,22_g,22_a,22_cs,22_bon,22_dmins,22_likelihood,23_fix,23_xmins,23_pts,23_g,23_a,23_cs,23_bon,23_dmins,23_likelihood,24_fix,24_xmins,24_pts,24_g,24_a,24_cs,24_bon,24_dmins,24_likelihood,25_fix,25_xmins,25_pts,25_g,25_a,25_cs,25_bon,25_dmins,25_likelihood,26_fix,26_xmins,26_pts,26_g,26_a,26_cs,26_bon,26_dmins,26_likelihood
11,Nketiah,4,ARS,67,(A): EVE,78.08,4.903,0.47,0.185,0,0.749,78.08,1,(H): BRE(H): MCI,75.74,8.661000000000001,0.7769999999999999,0.305,0,1.299,75.51 75.96,1 1,(A): AVL,73.84,4.15,0.364,0.143,0,0.629,73.84,1,(H): EVE(A): LEI,74.65,5.289,0.502,0.197,0,0.8079999999999999,74.71 74.64,0.15 1,(H): BOU,66.23,4.967,0.531,0.206,0,0.704,66.23,1
12,Smith Rowe,3,ARS,56,(A): EVE,0.57,0.042,0.001,0.002,0,0.003,0.57,1,(H): BRE(H): MCI,7.01,0.863,0.027999999999999997,0.036000000000000004,0.009000000000000001,0.063,6.03 7.99,1 1,(A): AVL,14.57,0.866,0.029,0.036,0.026,0.066,14.57,1,(H): EVE(A): LEI,22.52,1.619,0.062,0.075,0.067,0.133,22.38 22.54,0.15 1,(H): BOU,21.04,1.516,0.071,0.084,0.065,0.118,21.04,1
13,Saka,3,ARS,81,(A): EVE,83.54,5.458,0.359,0.303,0.447,0.597,83.54,1,(H): BRE(H): MCI,79.31,9.468,0.602,0.498,0.665,1.016,78.1 80.52,1 1,(A): AVL,78.42,4.65,0.292,0.229,0.369,0.511,78.42,1,(H): EVE(A): LEI,74.94,5.632,0.377,0.299,0.436,0.617,75.24 74.9,0.15 1,(H): BOU,72.53,5.821,0.436,0.349,0.486,0.6,72.53,1
14,Tomiyasu,2,ARS,42,(A): EVE,26.23,1.345,0.01,0.024,0.103,0.128,26.23,1,(H): BRE(H): MCI,30.38,2.664,0.019,0.046,0.2,0.20600000000000002,29.13 31.63,1 1,(A): AVL,34.36,1.613,0.01,0.024,0.135,0.148,34.36,1,(H): EVE(A): LEI,39.21,2.234,0.019,0.037,0.198,0.208,38.67 39.29,0.15 1,(H): BOU,37.52,2.202,0.02,0.044,0.215,0.198,37.52,1
15,Ramsdale,1,ARS,49,(A): EVE,88.25,4.228,0,0.003,0.456,0.335,88.25,1,(H): BRE(H): MCI,86.26,7.627000000000001,0,0.005,0.6910000000000001,0.65,86.35 86.16,1 1,(A): AVL,85.78,3.92,0,0.002,0.385,0.332,85.78,1,(H): EVE(A): LEI,85.31,4.582,0,0.003,0.47400000000000003,0.364,85.62 85.26,0.15 1,(H): BOU,85.29,4.448,0,0.004,0.553,0.285,85.29,1
16,Gabriel,2,ARS,52,(A): EVE,81.24,4.523,0.084,0.119,0.421,0.507,81.24,1,(H): BRE(H): MCI,80.03,7.380000000000001,0.144,0.182,0.647,0.728,80.73 79.33,1 1,(A): AVL,77.13,3.816,0.062,0.094,0.347,0.428,77.13,1,(H): EVE(A): LEI,76.71,4.673,0.08399999999999999,0.125,0.427,0.516,77.32 76.62,0.15 1,(H): BOU,74.32,4.852,0.095,0.14,0.482,0.505,74.32,1
17,Tavares,2,ARS,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
18,Sambi,3,CRY,43,(A): MUN,23.49,0.793,0.006,0.009,0.022,0.025,23.49,1,(H): BHA(A): BHA,34.08,1.171,0.014,0.019,0.074,0.039,34.07 34.55,1 0.02,(A): BRE(A): BHA,34.05,1.156,0.012,0.017,0.07,0.042,34.07 33.09,1 0.02,(H): LIV,33.75,1.111,0.012,0.018,0.059,0.038,33.75,1,(A): AVL(A): BHA,32.75,1.31,0.013,0.019,0.08199999999999999,0.048,32.1 35.99,1 0.2
19,Martinelli,3,ARS,67,(A): EVE,72.28,4.477,0.284,0.198,0.395,0.419,72.28,1,(H): BRE(H): MCI,69.84,7.857,0.473,0.328,0.598,0.719,68.91 70.77,1 1,(A): AVL,70.15,3.877,0.222,0.156,0.337,0.362,70.15,1,(H): EVE(A): LEI,65.69,4.583,0.287,0.198,0.385,0.424,65.45 65.73,0.15 1,(H): BOU,64.39,4.764,0.343,0.237,0.43,0.419,64.39,1
20,Pablo Marí,2,ARS,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
21,Maitland-Niles,3,SOU,48,(A): BRE,10.02,0.43,0.003,0.007,0.003,0.013,10.02,1,(H): WOL,8.71,0.388,0.004,0.007,0.002,0.014,8.71,1,(A): CHE,10.48,0.438,0.003,0.005,0.003,0.012,10.48,1,(A): LEE,10.06,0.439,0.004,0.007,0.003,0.013,10.06,1,(H): LEI,12.04,0.533,0.006,0.011,0.01,0.019,12.04,1
22,Torreira,3,ARS,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
23,Nelson,3,ARS,47,(A): EVE,0,0,0,0,0,0,0,1,(H): BRE(H): MCI,0,0,0,0,0,0,0 0,1 1,(A): AVL,1.45,0.097,0.003,0.004,0.001,0.006,1.45,1,(H): EVE(A): LEI,4.57,0.357,0.013,0.017,0.002,0.024999999999999998,4.74 4.54,0.15 1,(H): BOU,8.97,0.67,0.031,0.04,0.008,0.046,8.97,1
24,Turner,1,ARS,39,(A): EVE,1.75,0.084,0,0,0.009,0.006,1.75,1,(H): BRE(H): MCI,3.68,0.32599999999999996,0,0,0.03,0.027,3.65 3.7,1 1,(A): AVL,4.04,0.185,0,0,0.018,0.015,4.04,1,(H): EVE(A): LEI,4.49,0.241,0,0,0.025,0.018000000000000002,4.01 4.56,0.15 1,(H): BOU,4.35,0.227,0,0,0.028,0.014,4.35,1
25,Fábio Vieira,3,ARS,56,(A): EVE,17.74,1.032,0.041,0.048,0.047,0.074,17.74,1,(H): BRE(H): MCI,18.69,2.055,0.075,0.095,0.084,0.14100000000000001,19.21 18.17,1 1,(A): AVL,18.52,1.006,0.036,0.044,0.046,0.069,18.52,1,(H): EVE(A): LEI,16.31,1.1,0.044,0.053,0.046,0.08,17.75 16.09,0.15 1,(H): BOU,18.16,1.22,0.059,0.069,0.063,0.085,18.16,1
26,Saliba,2,ARS,53,(A): EVE,84.54,3.985,0.029,0.026,0.438,0.409,84.54,1,(H): BRE(H): MCI,78.9,6.246,0.047,0.043,0.635,0.544,79.22 78.59,1 1,(A): AVL,78.42,3.368,0.023,0.021,0.353,0.335,78.42,1,(H): EVE(A): LEI,73.5,3.837,0.028,0.027,0.40900000000000003,0.381,75.15 73.25,0.15 1,(H): BOU,74.75,4.108,0.036,0.033,0.485,0.388,74.75,1
27,Marquinhos,3,ARS,46,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
28,Jesus,4,ARS,79,(A): EVE,0,0,0,0,0,0,0,1,(H): BRE(H): MCI,0,0,0,0,0,0,0 0,1 1,(A): AVL,0,0,0,0,0,0,0,1,(H): EVE(A): LEI,0,0,0,0,0,0,0 0,0.15 1,(H): BOU,15.42,1.12,0.104,0.06,0,0.131,15.42,1
29,Coutinho,3,AVL,66,(H): LEI,31.89,2.108,0.122,0.079,0.09,0.178,31.89,1,(A): MCI,25.54,1.202,0.041,0.027,0.018,0.041,25.54,1,(H): ARS,27.73,1.44,0.062,0.039,0.043,0.069,27.73,1,(A): EVE,27.51,1.583,0.074,0.047,0.068,0.112,27.51,1,(H): CRY,29.32,1.854,0.099,0.063,0.093,0.152,29.32,1
30,Ings,4,WHU,64,(A): NEW,21.91,1.062,0.058,0.023,0,0.089,21.91,1,(H): CHE(H): NEW,42.23,2.2960000000000003,0.16,0.062,0,0.303,42.18 43.75,1 0.03,(A): TOT(H): NEW,41.57,2.136,0.146,0.057,0,0.203,41.67 38.34,1 0.03,(H): NFO,32.66,2.136,0.167,0.066,0,0.307,32.66,1,(A): BHA,30.64,1.61,0.098,0.041,0,0.17,30.64,1
31,Martínez,1,AVL,49,(H): LEI,88.4,3.85,0,0.003,0.326,0.39,88.4,1,(A): MCI,88.35,3.189,0,0.001,0.074,0.274,88.35,1,(H): ARS,87.41,3.345,0,0.002,0.175,0.33,87.41,1,(A): EVE,87.22,3.757,0,0.002,0.305,0.398,87.22,1,(H): CRY,86.26,3.964,0,0.003,0.378,0.404,86.26,1
32,Chambers,2,AVL,42,(H): LEI,6.23,0.238,0.004,0.003,0.016,0.02,6.23,1,(A): MCI,12.66,0.243,0.003,0.002,0.008,0.006,12.66,1,(H): ARS,18.1,0.496,0.006,0.004,0.031,0.023,18.1,1,(A): EVE,18.05,0.67,0.007,0.006,0.054,0.047,18.05,1,(H): CRY,14.45,0.62,0.007,0.006,0.051,0.061,14.45,1
33,Digne,2,AVL,46,(H): LEI,20.08,0.986,0.011,0.042,0.05,0.077,20.08,1,(A): MCI,24.2,0.596,0.006,0.022,0.017,0.012,24.2,1,(H): ARS,24.03,0.838,0.008,0.029,0.038,0.033,24.03,1,(A): EVE,22.98,1.027,0.009,0.033,0.06,0.072,22.98,1,(H): CRY,24.3,1.254,0.012,0.045,0.081,0.117,24.3,1
34,Traoré,3,AVL,49,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
35,Olsen,1,AVL,39,(H): LEI,1.47,0.064,0,0,0.005,0.005,1.47,1,(A): MCI,1.67,0.06,0,0,0.001,0.004,1.67,1,(H): ARS,2.4,0.091,0,0,0.005,0.007,2.4,1,(A): EVE,2.77,0.118,0,0,0.01,0.011,2.77,1,(H): CRY,3.61,0.164,0,0,0.016,0.014,3.61,1
36,Sanson,3,AVL,43,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
37,McGinn,3,AVL,51,(H): LEI,20.42,0.957,0.031,0.04,0.051,0.052,20.42,1,(A): MCI,55.54,1.667,0.035,0.046,0.052,0.061,55.54,1,(H): ARS,52.25,1.752,0.042,0.058,0.109,0.077,52.25,1,(A): EVE,52.32,1.919,0.051,0.067,0.184,0.091,52.32,1,(H): CRY,52.64,2.133,0.065,0.089,0.229,0.124,52.64,1
38,Hause,2,AVL,44,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
39,Mings,2,AVL,43,(H): LEI,86.51,3.23,0.035,0.035,0.321,0.258,86.51,1,(A): MCI,83.75,1.373,0.015,0.014,0.071,0.045,83.75,1,(H): ARS,80.26,1.977,0.019,0.019,0.163,0.097,80.26,1,(A): EVE,78.55,2.736,0.022,0.022,0.277,0.182,78.55,1,(H): CRY,74.76,3.111,0.027,0.027,0.328,0.286,74.76,1
40,Watkins,4,AVL,71,(H): LEI,84.62,4.766,0.446,0.176,0,0.696,84.62,1,(A): MCI,83.89,2.994,0.194,0.075,0,0.231,83.89,1,(H): ARS,81.18,3.347,0.253,0.097,0,0.329,81.18,1,(A): EVE,77.59,3.618,0.288,0.11,0,0.474,77.59,1,(H): CRY,79.16,4.217,0.379,0.147,0,0.597,79.16,1
41,Nakamba,3,AVL,43,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
42,Buendía,3,AVL,57,(H): LEI,68.48,3.841,0.185,0.208,0.298,0.356,68.48,1,(A): MCI,63.33,2.341,0.073,0.082,0.075,0.101,63.33,1,(H): ARS,58.91,2.521,0.09,0.102,0.147,0.139,58.91,1,(A): EVE,62.06,2.939,0.115,0.129,0.256,0.196,62.06,1,(H): CRY,58.63,3.218,0.141,0.16,0.289,0.282,58.63,1
43,Cash,2,AVL,46,(H): LEI,47.19,1.994,0.023,0.05,0.171,0.122,47.19,1,(A): MCI,53.14,0.979,0.011,0.024,0.047,0.019,53.14,1,(H): ARS,56.03,1.561,0.015,0.034,0.115,0.054,56.03,1,(A): EVE,61.32,2.332,0.019,0.046,0.218,0.122,61.32,1,(H): CRY,60.08,2.692,0.025,0.058,0.264,0.197,60.08,1
44,Konsa,2,AVL,44,(H): LEI,87.09,3.359,0.037,0.023,0.325,0.277,87.09,1,(A): MCI,83.48,1.39,0.015,0.009,0.072,0.045,83.48,1,(H): ARS,81.5,2.114,0.019,0.013,0.168,0.108,81.5,1,(A): EVE,75.34,2.782,0.022,0.014,0.272,0.199,75.34,1,(H): CRY,59.49,2.565,0.022,0.015,0.257,0.247,59.49,1
45,Bailey,3,AVL,45,(H): LEI,69.99,4.069,0.234,0.196,0.305,0.36,69.99,1,(A): MCI,65.11,2.438,0.094,0.078,0.077,0.095,65.11,1,(H): ARS,62.18,2.713,0.12,0.101,0.157,0.137,62.18,1,(A): EVE,61.03,3.043,0.142,0.119,0.25,0.228,61.03,1,(H): CRY,60.91,3.427,0.179,0.152,0.304,0.28,60.91,1
46,Douglas Luiz,3,AVL,48,(H): LEI,75.62,2.611,0.045,0.101,0.296,0.185,75.62,1,(A): MCI,69.6,1.867,0.019,0.041,0.067,0.09,69.6,1,(H): ARS,68.26,2.015,0.026,0.054,0.149,0.108,68.26,1,(A): EVE,67.48,2.181,0.03,0.064,0.25,0.133,67.48,1,(H): CRY,66.03,2.318,0.039,0.081,0.301,0.151,66.03,1
47,Ramsey,3,AVL,52,(H): LEI,63.2,3.005,0.136,0.121,0.245,0.251,63.2,1,(A): MCI,55.43,1.86,0.052,0.045,0.054,0.087,55.43,1,(H): ARS,58.08,2.193,0.075,0.064,0.127,0.134,58.08,1,(A): EVE,57.64,2.388,0.087,0.076,0.21,0.149,57.64,1,(H): CRY,57.82,2.707,0.114,0.098,0.26,0.224,57.82,1
48,Chukwuemeka,3,CHE,43,(H): FUL,37.15,1.719,0.05,0.045,0.141,0.092,37.15,1,(A): WHU,10.85,0.518,0.01,0.01,0.004,0.02,10.85,1,(H): SOU,6.79,0.418,0.009,0.008,0.011,0.018,6.79,1,(H): LIV(A): TOT,4.38,0.29100000000000004,0.004,0.003,0.006,0.006,4.65 4.37,0.05 1,(H): LEE,6.21,0.402,0.01,0.01,0.01,0.017,6.21,1
49,Iroegbunam,3,AVL,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
50,Diego Carlos,2,AVL,47,(H): LEI,0,0,0,0,0,0,0,1,(A): MCI,0,0,0,0,0,0,0,1,(H): ARS,0,0,0,0,0,0,0,1,(A): EVE,8.28,0.323,0.004,0.002,0.028,0.021,8.28,1,(H): CRY,31.46,1.379,0.019,0.01,0.133,0.129,31.46,1
51,El Ghazi,3,AVL,48,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
52,Davis,4,AVL,54,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
53,Kamara,3,AVL,48,(H): LEI,84.05,2.467,0.035,0.062,0.32,0.119,84.05,1,(A): MCI,78.86,1.867,0.014,0.025,0.072,0.071,78.86,1,(H): ARS,77.98,2.006,0.019,0.033,0.165,0.083,77.98,1,(A): EVE,73.17,2.072,0.021,0.037,0.267,0.097,73.17,1,(H): CRY,72.39,2.188,0.027,0.047,0.327,0.105,72.39,1
54,Archer,4,AVL,42,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
55,Philogene-Bidace,3,AVL,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
56,Guilbert,2,AVL,39,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
57,Smith,2,BOU,44,(A): BHA,83.16,1.525,0.012,0.039,0.097,0.035,83.16,1,(H): NEW(H): BHA,77.96,1.839,0.01,0.039,0.139,0.054,77.95 78.27,1 0.02,(A): WOL(H): BHA,74.98,1.968,0.011,0.042,0.158,0.063,75.05 71.45,1 0.02,(H): MCI,69.54,1.213,0.008,0.03,0.06,0.025,69.54,1,(A): ARS(H): BHA,68.64,1.3279999999999998,0.008,0.029,0.062,0.026000000000000002,68.68 68.22,1 0.1
58,Stanislas,3,BOU,48,(A): BHA,0,0,0,0,0,0,0,1,(H): NEW(H): BHA,0,0,0,0,0,0,0 0,1 0.02,(A): WOL(H): BHA,0.54,0.046,0.001,0.001,0.001,0.001,0.53 0.98,1 0.02,(H): MCI,3.18,0.21,0.005,0.004,0.001,0.006,3.18,1,(A): ARS(H): BHA,4.81,0.33499999999999996,0.008,0.006,0.001,0.008,4.86 4.28,1 0.1
59,Fredericks,2,BOU,44,(A): BHA,0,0,0,0,0,0,0,1,(H): NEW(H): BHA,0,0,0,0,0,0,0 0,1 0.02,(A): WOL(H): BHA,5.29,0.189,0.001,0.004,0.005,0.005,5.19 10.48,1 0.02,(H): MCI,14.56,0.405,0.002,0.008,0.008,0.006,14.56,1,(A): ARS(H): BHA,26.59,0.771,0.004,0.015,0.02,0.013000000000000001,26.06 31.9,1 0.1
60,Brooks,3,BOU,53,(A): BHA,0,0,0,0,0,0,0,1,(H): NEW(H): BHA,0,0,0,0,0,0,0 0,1 0.02,(A): WOL(H): BHA,0,0,0,0,0,0,0 0,1 0.02,(H): MCI,0.16,0.013,0,0,0,0,0.16,1,(A): ARS(H): BHA,0.58,0.049999999999999996,0.001,0.001,0,0.001,0.55 0.87,1 0.1
61,Lowe,3,BOU,52,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
62,Moore,4,BOU,52,(A): BHA,71.55,2.728,0.167,0.069,0,0.227,71.55,1,(H): NEW(H): BHA,50.05,1.9669999999999999,0.095,0.048,0,0.157,50.15 44.83,1 0.02,(A): WOL(H): BHA,44.59,1.811,0.08700000000000001,0.046,0,0.145,44.63 42.55,1 0.02,(H): MCI,39.57,1.492,0.061,0.031,0,0.095,39.57,1,(A): ARS(H): BHA,39.72,1.591,0.06,0.031,0,0.094,39.56 41.28,1 0.1
63,Marcondes,3,BOU,47,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
64,Lerma,3,BOU,48,(A): BHA,84.89,2.129,0.044,0.042,0.096,0.074,84.89,1,(H): NEW(H): BHA,82.3,2.156,0.039,0.047,0.14200000000000002,0.082,82.32 81.44,1 0.02,(A): WOL(H): BHA,78.44,2.144,0.04,0.052,0.161,0.074,78.45 77.89,1 0.02,(H): MCI,77.94,1.928,0.031,0.045,0.064,0.061,77.94,1,(A): ARS(H): BHA,76.08,2.007,0.029,0.037,0.067,0.057,76.08 76.12,1 0.1
65,Stacey,2,BOU,43,(A): BHA,25.96,0.648,0.004,0.013,0.024,0.016,25.96,1,(H): NEW(H): BHA,20.46,0.624,0.003,0.012,0.026000000000000002,0.022000000000000002,20.45 21.06,1 0.02,(A): WOL(H): BHA,20.94,0.681,0.003,0.013,0.03,0.026,21 18,1 0.02,(H): MCI,16.06,0.397,0.002,0.008,0.009,0.008,16.06,1,(A): ARS(H): BHA,14.85,0.409,0.002,0.007,0.007,0.008,14.99 13.41,1 0.1
66,Solanke,4,BOU,55,(A): BHA,19.23,0.84,0.055,0.021,0,0.057,19.23,1,(H): NEW(H): BHA,70.85,2.91,0.215,0.083,0,0.247,70.64 81.11,1 0.02,(A): WOL(H): BHA,79.2,3.323,0.258,0.099,0,0.298,79.2 79.43,1 0.02,(H): MCI,78.12,2.888,0.201,0.076,0,0.206,78.12,1,(A): ARS(H): BHA,77.82,3.013,0.194,0.074,0,0.202,77.8 78.02,1 0.1
67,Cook,3,BOU,49,(A): BHA,7.17,0.27,0.002,0.004,0.003,0.008,7.17,1,(H): NEW(H): BHA,44.36,1.397,0.011,0.028,0.077,0.059000000000000004,44.24 50.21,1 0.02,(A): WOL(H): BHA,67.24,1.9929999999999999,0.017,0.044,0.15,0.083,67.18 70.32,1 0.02,(H): MCI,66.29,1.789,0.014,0.034,0.063,0.068,66.29,1,(A): ARS(H): BHA,65.88,1.923,0.014,0.033,0.065,0.067,65.82 66.5,1 0.1
68,Pearson,3,BOU,44,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
69,Christie,3,BOU,53,(A): BHA,63.89,2.229,0.069,0.066,0.088,0.071,63.89,1,(H): NEW(H): BHA,35.92,1.491,0.039,0.044,0.055,0.048,36 31.74,1 0.02,(A): WOL(H): BHA,24.85,1.117,0.028,0.034,0.033,0.035,24.88 23.25,1 0.02,(H): MCI,24.7,1.02,0.023,0.026,0.015,0.024,24.7,1,(A): ARS(H): BHA,25.81,1.125,0.022,0.026,0.016,0.024,26.13 22.66,1 0.1
70,Billing,3,BOU,51,(A): BHA,41.26,1.441,0.047,0.037,0.056,0.055,41.26,1,(H): NEW(H): BHA,67.83,2.366,0.079,0.064,0.138,0.107,67.71 73.83,1 0.02,(A): WOL(H): BHA,73.32,2.6109999999999998,0.092,0.074,0.17300000000000001,0.123,73.32 73.29,1 0.02,(H): MCI,72.64,2.275,0.073,0.057,0.074,0.086,72.64,1,(A): ARS(H): BHA,72.2,2.4050000000000002,0.06899999999999999,0.056,0.077,0.083,72.18 72.43,1 0.1
71,Mepham,2,BOU,44,(A): BHA,61.71,1.122,0.013,0.01,0.069,0.028,61.71,1,(H): NEW(H): BHA,57.2,1.2899999999999998,0.013,0.01,0.096,0.042,57.2 57.29,1 0.02,(A): WOL(H): BHA,55.93,1.391,0.013,0.01,0.11,0.049,55.95 55.06,1 0.02,(H): MCI,52.78,0.898,0.01,0.008,0.042,0.021,52.78,1,(A): ARS(H): BHA,52.82,0.99,0.009000000000000001,0.007,0.044000000000000004,0.022,53.04 50.63,1 0.1
72,Travers,1,BOU,43,(A): BHA,1.31,0.046,0,0,0.001,0.002,1.31,1,(H): NEW(H): BHA,4.43,0.164,0,0,0.007,0.009,4.45 3.66,1 0.02,(A): WOL(H): BHA,3.08,0.116,0,0,0.006,0.007,3.09 2.83,1 0.02,(H): MCI,4.36,0.153,0,0,0.003,0.008,4.36,1,(A): ARS(H): BHA,4.13,0.15999999999999998,0,0,0.004,0.008,4.09 4.49,1 0.1
