Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
F,40,Watkins,7.4,7.3,Aston Villa,86,4.80,85,3.61,83,4.32
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,72,3.95,68,2.93,66,3.44
D,43,Cash,4.6,4.6,Aston Villa,29,1.12,47,1.07,60,1.99
D,44,Konsa,4.4,4.4,Aston Villa,72,2.38,66,1.28,58,1.79
M,45,Bailey,4.3,4.3,Aston Villa,34,1.97,35,1.68,37,2.06
M,46,Douglas Luiz,4.8,4.8,Aston Villa,78,2.62,73,2.12,70,2.31
M,47,Ramsey,5.1,5.1,Aston Villa,60,2.82,55,2.11,54,2.42
M,48,Chukwuemeka,4.2,4.2,Chelsea,1,0.09,2,0.23,2,0.14
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,32,1.17,37,0.81,45,1.47
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,50,1.62,77,1.99,74,2.13
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,83,2.26,81,1.73,78,2.14
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,7,0.44,10,0.57,11,0.60
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,5,0.29,6,0.31,8,0.47
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,81,2.40,78,2.25,78,2.32
D,65,Stacey,4.2,4.2,Bournemouth,17,0.59,19,0.57,20,0.69
F,66,Solanke,5.7,5.6,Bournemouth,85,4.12,80,3.84,78,3.89
M,67,Cook,4.9,4.9,Bournemouth,26,0.93,26,0.94,26,0.94
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,67,2.66,66,2.56,63,2.54
M,70,Billing,5.1,5.1,Bournemouth,77,3.04,74,2.85,74,2.96
D,71,Mepham,4.3,4.3,Bournemouth,39,1.04,41,0.84,42,1.09
G,72,Travers,4.1,4.1,Bournemouth,2,0.06,3,0.10,3,0.11
D,73,Kelly,4.3,4.3,Bournemouth,85,2.21,82,1.65,80,2.08
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,32,1.51,36,1.64,36,1.69
D,76,Zemura,4.2,4.2,Bournemouth,0,0.00,1,0.04,2,0.07
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,0,0.00,0,0.00,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,0,0.00,0,0.00,9,0.32
F,80,Toney,7.3,7.3,Brentford,87,4.98,74,3.43,63,2.56
G,81,Raya,4.8,4.8,Brentford,89,3.87,88,3.25,88,3.19
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,40,2.03,38,1.70,39,1.63
D,84,Ajer,4.5,4.5,Brentford,34,1.49,36,1.06,43,1.08
D,85,Henry,4.4,4.4,Brentford,79,3.24,76,2.09,75,1.79
M,86,Janelt,5.5,5.5,Brentford,70,2.73,64,2.21,65,2.08
M,87,Ghoddos,4.8,4.8,Brentford,2,0.16,5,0.28,6,0.33
M,88,Jensen,4.8,4.8,Brentford,76,3.20,72,2.62,69,2.38
M,89,Wissa,5.3,5.3,Brentford,29,1.83,36,1.87,41,1.91
D,90,Roerslev,4.3,4.3,Brentford,13,0.50,13,0.38,18,0.47
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,87,3.54,83,2.22,80,1.86
M,93,Onyeka,4.8,4.8,Brentford,40,1.75,48,1.78,44,1.59
M,94,Baptiste,4.5,4.5,Brentford,14,0.71,18,0.84,20,0.87
F,95,Mbeumo,5.6,5.6,Brentford,74,3.73,72,3.13,70,2.81
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,0,0.00,6,0.30
G,102,Steele,4.0,3.9,Brighton,79,5.77,76,6.54,72,2.94
F,103,Welbeck,6.5,6.5,Brighton,40,4.13,39,4.80,36,2.00
M,104,Groß,5.4,5.4,Brighton,80,5.92,76,7.29,76,3.24
D,105,Duffy,4.2,4.2,Fulham,17,0.66,20,0.78,19,0.39
D,106,Dunk,4.8,4.8,Brighton,87,4.37,84,6.93,82,2.90
M,107,March,5.3,5.3,Brighton,0,0.00,0,0.00,8,0.41
D,108,Webster,4.5,4.5,Brighton,0,0.00,33,2.73,46,1.69
D,109,Veltman,4.6,4.6,Brighton,26,1.57,47,3.90,57,2.06
F,110,Maupay,5.6,5.6,Everton,18,0.94,20,1.21,22,1.58
M,111,Trossard,6.6,6.6,Arsenal,39,2.64,42,2.94,42,3.24
D,112,Cucurella,4.9,4.9,Chelsea,0,0.00,0,0.00,6,0.27
G,113,Sánchez,4.5,4.5,Brighton,11,0.80,14,1.22,18,0.69
D,114,Lamptey,4.2,4.2,Brighton,0,0.00,0,0.00,5,0.21
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.6,5.5,Brighton,78,7.09,74,8.62,73,3.66
M,117,Moder,4.4,4.4,Brighton,0,0.00,3,0.33,6,0.33
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,3,0.18
M,120,Caicedo,5.0,5.0,Brighton,85,4.39,79,4.82,75,2.15
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,34,3.41,33,4.02,31,1.71
M,124,Mitoma,5.6,5.5,Brighton,80,6.92,76,8.22,75,3.60
F,125,Enciso,4.6,4.6,Brighton,61,4.87,58,5.43,52,2.28
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,55,2.85,49,2.54,45,1.66
D,128,Thiago Silva,5.4,5.4,Chelsea,81,3.88,72,3.11,69,2.26
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,61,2.16,57,2.16,59,2.37
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,41,1.81,42,2.77,45,1.66
G,133,Arrizabalaga,4.6,4.6,Chelsea,88,4.05,86,6.17,86,3.39
M,134,Kanté,4.8,4.8,Chelsea,61,2.45,61,3.74,58,1.99
M,135,Ziyech,5.5,5.5,Chelsea,14,0.96,16,1.76,15,0.94
M,136,Loftus-Cheek,5.0,5.0,Chelsea,16,0.84,16,1.40,14,0.65
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00
D,139,Chilwell,5.6,5.6,Chelsea,0,0.00,0,0.00,8,0.35
M,140,Pulisic,5.6,5.6,Chelsea,11,0.72,12,1.18,12,0.68
D,141,Chalobah,4.4,4.4,Chelsea,71,3.39,60,2.51,48,1.55
M,142,Mount,7.2,7.2,Chelsea,0,0.00,2,0.22,10,0.60
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00
F,145,Havertz,7.4,7.4,Chelsea,53,3.66,53,4.89,52,2.88
D,146,James,5.8,5.8,Chelsea,0,0.00,3,0.24,24,1.10
G,147,Mendy,4.8,4.8,Chelsea,2,0.11,3,0.24,4,0.15
M,148,Gallagher,5.6,5.6,Chelsea,72,3.54,64,4.55,57,2.34
M,149,Gilmour,4.2,4.2,Brighton,33,2.43,31,2.60,25,1.00
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,4,0.17,8,0.33,5,0.23
D,153,Tomkins,3.9,3.9,Crystal Palace,0,0.00,2,0.05,4,0.14
M,154,McArthur,4.8,4.8,Crystal Palace,7,0.39,7,0.35,8,0.41
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,78,3.05,75,2.35,74,3.10
D,157,Clyne,4.5,4.5,Crystal Palace,13,0.53,13,0.49,15,0.70
M,158,Milivojevic,4.2,4.2,Crystal Palace,0,0.00,0,0.00,2,0.12
M,159,J.Ayew,5.2,5.2,Crystal Palace,74,3.86,70,3.12,70,3.61
M,160,Zaha,7.2,7.2,Crystal Palace,85,5.42,81,4.29,81,5.08
M,161,Schlupp,4.7,4.7,Crystal Palace,45,2.04,58,2.30,56,2.52
G,162,Butland,4.4,4.4,Man Utd,0,0.00,2,0.20,3,0.12
M,163,Hughes,4.8,4.8,Crystal Palace,38,1.64,36,1.45,36,1.58
M,164,Riedewald,4.2,4.2,Crystal Palace,1,0.06,2,0.07,2,0.09
D,165,Andersen,4.5,4.5,Crystal Palace,87,3.60,83,2.74,80,3.61
F,166,Edouard,5.0,5.0,Crystal Palace,28,1.73,29,1.57,30,1.81
D,167,Guéhi,4.5,4.5,Crystal Palace,86,3.42,83,2.61,81,3.47
F,168,Mateta,5.1,5.1,Crystal Palace,8,0.67,9,0.60,12,0.83
M,169,Eze,5.5,5.5,Crystal Palace,78,4.14,78,3.54,77,4.09
D,170,Mitchell,4.4,4.4,Crystal Palace,79,3.25,77,2.55,74,3.30
M,171,Olise,5.3,5.3,Crystal Palace,74,4.04,73,3.40,72,3.92
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00
G,175,Johnstone,4.4,4.4,Crystal Palace,86,3.70,82,3.22,85,3.78
G,176,Begović,3.9,3.9,Everton,0,0.00,2,0.10,4,0.15
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00
D,178,Coleman,4.2,4.2,Everton,0,0.00,0,0.00,0,0.00
M,179,Townsend,5.4,5.4,Everton,1,0.08,3,0.18,6,0.38
D,180,Keane,4.2,4.2,Everton,22,0.51,30,1.14,22,0.97
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,89,3.12,88,3.54,86,3.65
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,76,2.46,75,2.90,73,3.31
M,186,Iwobi,4.9,4.9,Everton,82,2.64,82,3.20,78,3.52
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,61,1.33,65,2.43,63,2.81
M,189,Gray,5.2,5.2,Everton,32,1.36,35,1.77,37,2.20
M,190,Davies,4.9,4.9,Everton,8,0.40,9,0.46,12,0.57
F,191,Calvert-Lewin,7.9,7.9,Everton,75,3.08,73,3.87,70,4.45
D,192,Holgate,4.2,4.2,Everton,12,0.26,13,0.43,9,0.34
D,193,Godfrey,4.3,4.3,Everton,4,0.12,23,0.87,39,1.68
D,194,Mykolenko,4.1,4.1,Everton,83,1.59,72,2.51,67,2.76
M,195,Gordon,5.1,5.1,Newcastle,23,2.90,23,1.59,27,1.45
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00
D,197,Patterson,3.9,3.9,Everton,78,1.55,71,2.53,65,2.72
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.1,4.1,Everton,87,1.60,83,2.86,82,3.37
M,200,Cairney,4.7,4.7,Fulham,55,2.60,52,2.45,53,2.00
D,201,Ream,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00
M,204,Kebano,5.4,5.4,Fulham,21,1.26,25,1.44,24,1.15
M,205,De Cordova-Reid,5.4,5.4,Fulham,34,1.72,37,1.81,35,1.43
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.4,4.4,Fulham,83,2.77,80,2.84,79,1.28
F,210,Mitrović,6.6,6.6,Fulham,49,2.91,50,2.86,48,2.12
M,211,Reed,4.3,4.3,Fulham,72,2.40,68,2.29,66,1.90
M,212,Wilson,5.7,5.7,Fulham,60,3.37,56,3.16,58,2.45
G,213,Rodák,4.3,4.3,Fulham,4,0.17,6,0.27,6,0.20
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00,0,0.00
D,215,Tete,4.4,4.4,Fulham,73,2.60,71,2.67,69,1.22
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,80,2.71,76,2.74,75,1.27
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00
M,220,Palhinha,4.9,4.9,Fulham,83,2.69,78,2.55,76,2.01
D,221,Cooper,4.4,4.4,Leeds,0,0.00,7,0.21,24,0.73
D,222,Ayling,4.5,4.5,Leeds,70,1.73,68,2.08,66,2.04
M,223,Klich,4.6,4.6,Leeds,0,0.00,0,0.00,0,0.00
M,224,Forshaw,4.4,4.4,Leeds,52,1.72,47,1.63,51,1.78
M,225,Rodrigo,6.3,6.3,Leeds,50,2.64,53,2.94,52,3.11
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,1,0.03
F,227,Bamford,7.1,7.1,Leeds,60,3.07,58,3.15,60,3.47
D,228,Llorente,4.4,4.4,Leeds,0,0.00,0,0.00,0,0.00
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,86,1.89,82,2.31,78,2.21
M,231,James,5.9,5.9,Fulham,0,0.00,1,0.07,8,0.40
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00
M,233,Harrison,5.7,5.7,Leeds,76,3.01,74,3.11,72,3.23
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,11,0.33,14,0.49,16,0.57
G,236,Klaesson,3.8,3.8,Leeds,0,0.00,0,0.00,0,0.00
F,237,Greenwood,4.0,4.0,Leeds,36,1.43,17,0.81,16,0.80
G,238,Meslier,4.5,4.5,Leeds,10,0.35,12,0.45,14,0.51
D,239,Firpo,4.5,4.5,Leeds,69,1.70,64,1.98,56,1.75
M,240,Summerville,4.2,4.2,Leeds,45,1.97,44,2.05,46,2.21
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.1,5.1,Leeds,0,0.00,0,0.00,0,0.00
D,243,Hjelde,3.9,3.9,Leeds,0,0.00,0,0.00,0,0.00
D,244,Kristensen,4.7,4.7,Leeds,40,1.07,45,1.44,43,1.39
M,245,Roca,4.8,4.8,Leeds,67,2.22,72,2.44,69,2.45
M,246,Aaronson,5.3,5.3,Leeds,27,1.27,37,1.70,37,1.79
M,247,Gyabi,4.2,4.2,Leeds,0,0.00,0,0.00,0,0.00
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,23,0.48,36,0.71,39,1.42
D,250,Bertrand,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00
M,251,Albrighton,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00
M,252,Mendy,4.2,4.2,Leicester,1,0.10,3,0.21,3,0.19
D,253,Vestergaard,3.8,3.8,Leicester,0,0.00,0,0.00,0,0.00
G,254,Ward,3.8,3.8,Leicester,1,0.04,3,0.09,3,0.14
F,255,Vardy,9.1,9.1,Leicester,65,3.23,60,2.73,53,3.23
D,256,Ricardo,4.2,4.2,Leicester,32,0.95,44,1.12,47,2.10
D,257,Amartey,3.9,3.9,Leicester,8,0.21,8,0.19,11,0.40
D,258,Castagne,4.3,4.3,Leicester,84,1.72,81,1.58,77,2.95
M,259,Tielemans,6.1,6.1,Leicester,72,2.37,71,2.24,70,2.74
M,260,Pérez,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00
M,261,Maddison,7.8,7.8,Leicester,84,3.77,82,3.33,81,4.60
F,262,Iheanacho,5.8,5.8,Leicester,0,0.00,7,0.39,22,1.36
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.6,6.6,Leicester,78,3.45,77,3.05,75,3.99
M,265,Ndidi,4.8,4.8,Leicester,32,1.05,34,1.05,33,1.18
M,266,Dewsbury-Hall,4.9,4.9,Leicester,24,1.07,25,1.08,28,1.34
D,267,Söyüncü,4.2,4.2,Leicester,72,1.37,68,1.24,59,2.09
D,268,Justin,4.1,4.1,Leicester,0,0.00,0,0.00,0,0.00
M,269,Soumaré,4.4,4.4,Leicester,64,1.81,61,1.72,63,2.00
D,270,Thomas,3.9,3.9,Leicester,15,0.40,14,0.36,16,0.64
F,271,Daka,5.6,5.6,Leicester,35,1.82,35,1.67,33,2.04
D,272,W.Fofana,4.3,4.3,Chelsea,40,1.96,77,3.16,71,2.27
D,273,Brunt,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00
M,274,Milner,4.4,4.4,Liverpool,10,0.56,12,0.63,13,0.72
M,275,Henderson,5.3,5.3,Liverpool,66,2.65,65,2.62,60,2.53
D,276,Matip,5.9,5.9,Liverpool,8,0.31,9,0.40,14,0.64
M,277,Thiago,5.1,5.1,Liverpool,0,0.00,0,0.00,0,0.00
M,278,Chamberlain,4.9,4.9,Liverpool,4,0.28,5,0.34,5,0.35
F,279,Firmino,8.0,8.0,Liverpool,0,0.00,2,0.17,7,0.54
D,280,Van Dijk,6.6,6.6,Liverpool,85,3.38,83,3.65,81,3.78
G,281,Alisson,5.4,5.4,Liverpool,89,3.67,88,3.90,86,3.89
M,282,Fabinho,5.2,5.2,Liverpool,73,2.31,71,2.30,70,2.38
M,283,Salah,13.1,12.9,Liverpool,85,6.83,83,6.64,79,6.77
D,284,Robertson,6.8,6.8,Liverpool,81,3.70,79,4.00,74,3.99
D,285,Alexander-Arnold,7.7,7.5,Liverpool,85,4.51,82,4.76,79,4.95
D,286,Gomez,4.3,4.3,Liverpool,7,0.26,12,0.48,16,0.65
M,287,Keita,4.7,4.7,Liverpool,0,0.00,4,0.19,13,0.69
F,288,Diogo Jota,8.7,8.7,Liverpool,52,3.28,54,3.40,53,3.50
G,289,Kelleher,4.0,4.0,Liverpool,1,0.05,2,0.08,3,0.15
D,290,Konaté,4.8,4.8,Liverpool,83,2.97,82,3.31,77,3.31
M,291,Jones,4.9,4.9,Liverpool,67,2.62,62,2.48,59,2.49
D,292,Tsimikas,4.3,4.3,Liverpool,11,0.53,11,0.56,16,0.93
M,293,Luis Díaz,7.8,7.8,Liverpool,56,3.54,41,2.64,44,2.90
M,294,Elliott,4.8,4.8,Liverpool,27,1.38,28,1.41,28,1.44
D,295,N.Williams,3.8,3.8,Nott'm Forest,0,0.00,0,0.00,4,0.14
M,296,Carvalho,5.1,5.1,Liverpool,3,0.21,5,0.34,6,0.41
F,297,Darwin,8.6,8.6,Liverpool,27,2.07,41,2.91,41,3.12
D,298,Ramsay,3.9,3.9,Liverpool,0,0.00,0,0.00,0,0.00
D,299,Walker,4.7,4.7,Man City,28,1.38,54,4.48,52,2.30
M,300,Gündogan,7.3,7.3,Man City,56,3.05,49,4.59,49,2.36
M,301,De Bruyne,12.2,12.2,Man City,42,2.95,70,8.77,68,4.34
D,302,Stones,5.6,5.6,Man City,46,2.42,63,5.63,61,2.90
M,303,Mahrez,7.4,7.3,Man City,61,4.26,59,7.29,58,3.63
M,304,Sterling,9.7,9.7,Chelsea,47,3.35,54,4.96,53,2.91
M,305,Grealish,7.2,7.2,Man City,44,2.56,62,6.50,61,3.21
D,306,Cancelo,7.1,7.1,Man City,0,0.00,0,0.00,0,0.00
G,307,Ederson,5.4,5.4,Man City,85,3.93,79,6.85,86,3.80
D,308,Aké,5.0,5.0,Man City,27,1.47,50,4.67,56,2.72
D,309,Laporte,5.6,5.6,Man City,57,2.92,42,3.91,42,2.03
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00
M,311,Bernardo,6.7,6.7,Man City,55,2.59,48,4.19,50,2.19
D,312,Dias,6.0,6.0,Man City,69,3.38,72,6.13,69,3.12
D,313,Zinchenko,5.1,5.1,Arsenal,0,0.00,4,0.18,15,0.80
M,314,Foden,8.0,8.0,Man City,59,3.81,48,5.97,49,3.05
M,315,Rodri,5.6,5.6,Man City,74,3.10,77,5.91,73,2.86
M,316,Palmer,4.2,4.2,Man City,10,0.59,5,0.66,8,0.49
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00
F,318,Haaland,12.4,12.3,Man City,64,5.12,76,11.24,73,5.44
F,319,Álvarez,6.0,6.0,Man City,62,3.55,41,4.56,42,2.34
D,320,Mbete,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00
M,321,Lavia,4.5,4.5,Southampton,79,2.24,75,1.86,74,1.88
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0.00,0,0.00,0,0.00
F,323,Delap,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00
G,324,Ortega,3.8,3.8,Man City,5,0.23,11,0.98,4,0.19
M,325,Phillips,4.8,4.8,Man City,23,0.92,10,0.79,13,0.51
F,326,Ronaldo,10.2,10.2,Man Utd,0,0.00,0,0.00,0,0.00
G,327,De Gea,5.0,5.0,Man Utd,89,4.11,87,7.40,87,3.94
D,328,Jones,3.8,3.8,Man Utd,0,0.00,0,0.00,0,0.00
D,329,Varane,4.8,4.8,Man Utd,67,3.24,82,6.70,77,3.67
D,330,Maguire,4.7,4.7,Man Utd,18,0.86,13,1.08,18,0.82
M,331,Fred,5.1,5.1,Man Utd,17,0.84,19,1.77,17,0.87
D,332,Shaw,5.2,5.2,Man Utd,83,4.26,78,6.88,76,3.97
M,333,Fernandes,9.4,9.4,Man Utd,87,5.97,84,10.78,83,6.08
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00
M,335,Rashford,7.3,7.0,Man Utd,15,1.25,49,7.44,76,6.73
M,336,Van de Beek,5.1,5.1,Man Utd,0,0.00,0,0.00,0,0.00
D,337,Lindelöf,4.1,4.1,Man Utd,70,3.17,64,4.93,63,2.79
