Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,19,Martinelli,6.7,6.7,Arsenal,67,3.94,60,4.49,62,2.73,61,3.54,60,2.96,58,3.46,57,3.74,56,3.79
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,32,1.10,0,0.00,35,1.20,34,1.00,35,1.14,30,1.03,31,0.93,31,0.97
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,6,0.41,8,0.63,7,0.40,7,0.50,7,0.44,7,0.49,9,0.64,10,0.70
G,24,Turner,3.8,3.8,Arsenal,2,0.08,3,0.17,3,0.13,3,0.13,3,0.14,3,0.15,3,0.16,5,0.23
M,25,Fábio Vieira,5.6,5.6,Arsenal,10,0.60,13,0.94,11,0.55,12,0.67,13,0.66,14,0.83,15,0.91,14,0.91
D,26,Saliba,5.1,5.1,Arsenal,46,2.03,61,3.25,74,1.89,80,3.44,82,2.75,79,3.19,79,3.86,76,3.90
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.0,8.0,Arsenal,68,4.13,66,5.16,70,3.24,70,4.16,67,3.43,67,4.12,64,4.29,66,4.57
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,6,0.38,14,0.95,28,1.32,41,2.23,49,2.71,48,2.22,47,2.52
F,30,Ings,6.4,6.4,West Ham,67,2.81,61,3.14,57,2.78,54,4.80,54,2.61,51,2.48,52,3.03,51,2.70
G,31,Martínez,5.0,5.0,Aston Villa,89,3.49,87,3.44,87,3.84,86,3.12,85,3.52,86,3.38,86,3.08,86,3.36
D,32,Chambers,4.2,4.2,Aston Villa,24,0.75,24,0.77,21,0.92,18,0.40,14,0.48,10,0.34,9,0.21,11,0.36
D,33,Digne,4.6,4.6,Aston Villa,23,0.96,20,0.84,24,1.25,22,0.72,20,0.92,22,0.95,19,0.64,20,0.86
M,34,Traoré,4.9,4.9,Aston Villa,33,1.65,29,1.50,22,1.43,22,1.12,17,1.01,15,0.89,14,0.76,14,0.86
G,35,Olsen,3.9,3.9,Aston Villa,1,0.05,3,0.10,3,0.14,4,0.14,5,0.19,4,0.15,4,0.14,3,0.12
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,83,2.65,80,2.58,77,3.06,74,2.27,71,2.57,71,2.64,67,2.15,68,2.47
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.5,4.5,Aston Villa,87,2.44,84,2.42,80,3.24,77,1.43,78,2.55,78,2.35,74,1.36,75,2.12
F,40,Watkins,7.6,7.4,Aston Villa,86,4.05,83,4.04,81,4.91,79,3.34,79,3.88,79,4.06,80,3.39,80,3.94
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,73,3.37,71,3.39,69,4.11,66,2.81,60,3.02,60,3.10,60,2.57,59,2.97
D,43,Cash,4.6,4.6,Aston Villa,0,0.00,5,0.17,19,0.86,37,0.79,58,2.09,71,2.36,67,1.41,70,2.17
D,44,Konsa,4.4,4.4,Aston Villa,84,2.44,83,2.48,80,3.27,73,1.42,74,2.50,71,2.21,72,1.39,72,2.09
M,45,Bailey,4.4,4.4,Aston Villa,46,2.20,58,2.83,54,3.31,49,2.15,44,2.33,44,2.39,44,2.00,43,2.26
M,46,Douglas Luiz,4.8,4.8,Aston Villa,81,2.46,76,2.38,75,2.71,75,2.13,74,2.39,72,2.35,71,2.07,71,2.25
M,47,Ramsey,5.2,5.2,Aston Villa,69,2.71,66,2.65,61,2.98,57,2.13,53,2.27,47,2.12,50,1.92,49,2.12
M,48,Chukwuemeka,4.2,4.2,Chelsea,4,0.26,0,0.00,4,0.29,5,0.30,8,0.43,6,0.38,7,0.76,6,0.36
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,10,0.33,17,0.53,20,0.86,29,0.66,25,0.91,27,0.92,30,0.66,29,0.91
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,0,0.00,5,0.18,22,0.75,40,1.10,62,1.82,73,2.08,74,1.89,73,2.03
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,84,1.69,64,2.29,52,1.80,67,2.34,77,2.10,73,2.24,75,1.70,73,2.20
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.02,1,0.10,2,0.20,3,0.23,3,0.24
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,3,0.21,3,0.26,5,0.36,6,0.45,6,0.38,5,0.33,5,0.36,6,0.41
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,62,Moore,5.0,5.0,Bournemouth,3,0.16,5,0.28,7,0.42,6,0.39,5,0.25,6,0.35,6,0.34,9,0.45
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,82,2.20,79,2.47,75,2.31,76,2.46,75,2.14,74,2.17,75,2.10,73,2.10
D,65,Stacey,4.3,4.3,Bournemouth,6,0.17,17,0.67,28,1.05,14,0.56,10,0.34,13,0.47,12,0.35,14,0.48
F,66,Solanke,5.5,5.5,Bournemouth,84,3.52,80,4.25,78,4.06,76,4.39,76,3.45,77,3.62,75,3.46,75,3.40
M,67,Cook,4.9,4.9,Bournemouth,25,0.88,24,0.92,26,0.96,27,1.03,28,0.98,29,1.03,29,1.00,29,1.03
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,37,1.51,33,1.59,35,1.66,36,1.79,40,1.68,39,1.68,40,1.67,38,1.63
M,70,Billing,5.2,5.2,Bournemouth,71,2.47,70,2.90,70,2.81,68,3.00,67,2.49,67,2.56,64,2.37,63,2.40
D,71,Mepham,4.3,4.3,Bournemouth,16,0.32,16,0.54,48,1.49,18,0.59,17,0.45,16,0.49,19,0.42,18,0.54
G,72,Travers,4.2,4.2,Bournemouth,1,0.04,2,0.07,3,0.13,2,0.10,3,0.13,3,0.13,5,0.17,4,0.15
D,73,Kelly,4.3,4.3,Bournemouth,82,1.57,79,2.64,80,2.57,76,2.50,74,1.95,72,2.11,72,1.55,71,2.03
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,16,0.81,14,0.83,19,1.06,20,1.21,19,0.97,20,1.07,20,1.03,19,1.01
D,76,Zemura,4.3,4.3,Bournemouth,18,0.49,17,0.66,31,1.15,19,0.73,16,0.55,18,0.65,20,0.57,20,0.69
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,18,0.70,32,1.33,35,1.01,36,1.81,36,0.84,34,1.50,32,0.92,32,0.84
M,79,Nørgaard,5.3,5.3,Brentford,82,2.63,81,2.84,78,2.29,76,3.00,73,2.15,74,2.66,75,2.26,74,2.15
F,80,Toney,7.8,7.8,Brentford,79,3.84,50,2.87,24,1.01,21,1.34,13,0.55,14,0.81,12,0.56,12,0.52
G,81,Raya,4.9,4.9,Brentford,89,3.74,87,3.71,88,3.31,88,4.15,85,3.09,86,3.83,86,3.21,85,3.15
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,30,1.44,31,1.60,31,1.37,32,1.83,33,1.42,32,1.66,32,1.42,28,1.23
D,84,Ajer,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,6,0.14,19,0.85,31,0.91,37,0.95
D,85,Henry,4.6,4.6,Brentford,84,2.99,80,3.07,79,2.05,76,3.69,76,1.60,75,3.09,71,1.85,69,1.61
M,86,Janelt,5.5,5.5,Brentford,50,1.92,52,2.10,51,1.77,51,2.27,48,1.67,52,2.10,48,1.71,48,1.67
M,87,Ghoddos,4.8,4.8,Brentford,3,0.22,6,0.38,9,0.44,10,0.65,12,0.58,10,0.61,11,0.55,9,0.45
M,88,Jensen,4.8,4.8,Brentford,70,2.76,67,2.92,65,2.39,66,3.25,65,2.33,64,2.89,64,2.41,66,2.35
M,89,Wissa,5.3,5.3,Brentford,38,2.04,40,2.43,47,2.20,49,3.31,51,2.39,51,3.11,49,2.40,50,2.31
D,90,Roerslev,4.3,4.3,Brentford,21,0.81,22,0.94,22,0.68,22,1.10,22,0.59,19,0.84,15,0.48,13,0.37
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,85,3.09,81,3.21,79,2.06,77,3.78,76,1.61,76,3.21,78,2.03,76,1.77
M,93,Onyeka,4.8,4.8,Brentford,1,0.09,10,0.49,20,0.83,22,1.14,30,1.18,29,1.34,28,1.17,26,1.07
M,94,Baptiste,4.5,4.5,Brentford,11,0.54,13,0.63,15,0.69,15,0.82,15,0.69,14,0.71,14,0.64,17,0.74
F,95,Mbeumo,5.8,5.8,Brentford,74,3.23,76,3.92,77,3.07,74,4.34,74,3.10,74,3.96,72,3.11,71,2.91
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,8,0.69,18,1.69,24,1.14
G,102,Steele,3.9,3.9,Brighton,88,3.61,0,0.00,86,4.00,85,7.52,84,4.21,84,6.18,83,7.27,83,3.46
F,103,Welbeck,6.5,6.5,Brighton,38,2.04,0,0.00,38,2.29,37,4.44,36,2.34,35,3.31,33,4.02,34,1.95
M,104,Groß,5.4,5.4,Brighton,75,3.00,0,0.00,75,3.56,74,6.79,72,3.70,72,5.09,72,6.67,71,3.08
D,105,Duffy,4.3,4.3,Fulham,0,0.00,1,0.05,2,0.06,2,0.10,2,0.10,2,0.10,3,0.14,4,0.10
D,106,Dunk,4.7,4.7,Brighton,88,3.21,0,0.00,84,4.23,83,7.45,83,4.50,82,4.41,81,6.99,83,3.26
M,107,March,5.2,5.2,Brighton,82,3.69,0,0.00,79,4.24,78,8.06,77,4.38,79,5.92,78,7.92,79,3.68
D,108,Webster,4.5,4.5,Brighton,80,2.83,0,0.00,77,3.72,75,6.45,73,3.87,71,3.75,73,6.17,72,2.73
D,109,Veltman,4.6,4.6,Brighton,68,2.38,0,0.00,60,2.84,60,5.07,58,2.98,57,3.00,55,4.59,56,2.09
F,110,Maupay,5.7,5.7,Everton,22,1.42,19,1.07,11,0.62,13,0.77,13,0.69,14,0.70,15,0.84,15,0.94
M,111,Trossard,6.7,6.7,Arsenal,37,2.56,39,3.28,34,1.80,36,2.46,37,2.17,36,2.49,36,2.73,35,2.78
D,112,Cucurella,5.0,5.0,Chelsea,27,1.08,0,0.00,27,1.36,25,0.78,25,1.22,29,1.67,26,1.65,28,1.23
G,113,Sánchez,4.5,4.5,Brighton,2,0.07,0,0.00,4,0.18,5,0.43,6,0.27,6,0.46,7,0.57,7,0.28
D,114,Lamptey,4.2,4.2,Brighton,1,0.06,0,0.00,23,1.18,30,2.82,34,1.91,31,2.02,31,2.88,27,1.19
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.5,5.4,Brighton,82,3.95,0,0.00,80,4.66,78,8.84,75,4.75,77,6.13,75,8.49,76,3.95
M,117,Moder,4.4,4.4,Brighton,1,0.03,0,0.00,4,0.22,5,0.58,8,0.47,6,0.54,7,0.77,6,0.31
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,7,0.65,11,1.22,14,0.79
M,120,Caicedo,5.0,5.0,Brighton,79,2.30,0,0.00,78,2.56,70,4.46,60,2.14,75,3.91,72,4.56,72,2.17
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,10,0.61,0,0.00,14,0.94,15,2.06,16,1.13,16,1.69,14,1.98,12,0.81
M,124,Mitoma,5.7,5.6,Brighton,82,3.80,0,0.00,76,4.22,77,8.25,75,4.46,75,5.85,74,7.88,74,3.70
F,125,Enciso,4.6,4.6,Brighton,17,0.79,0,0.00,21,1.05,22,2.17,22,1.17,18,1.58,19,1.92,16,0.78
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,19,0.74,0,0.00,18,0.86,16,0.51,19,0.87,18,0.96,17,1.04,20,0.83
D,128,Thiago Silva,5.4,5.4,Chelsea,64,2.18,0,0.00,64,2.99,62,1.52,59,2.59,62,3.32,56,2.81,60,2.31
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,25,1.04,31,1.44,31,1.07,31,1.26,31,1.16,34,1.36,33,1.42,36,1.52
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,63,2.07,0,0.00,54,2.06,57,1.71,58,2.10,54,2.19,54,3.29,51,1.76
G,133,Arrizabalaga,4.7,4.7,Chelsea,85,3.47,0,0.00,86,3.99,84,3.14,84,3.80,84,4.22,83,6.27,83,3.59
M,134,Kanté,4.8,4.8,Chelsea,26,1.04,0,0.00,45,1.78,46,1.49,44,1.71,43,1.81,46,3.00,46,1.63
M,135,Ziyech,5.5,5.5,Chelsea,6,0.44,0,0.00,5,0.44,8,0.47,7,0.52,8,0.64,8,0.97,9,0.55
M,136,Loftus-Cheek,5.0,5.0,Chelsea,22,1.03,0,0.00,22,1.10,19,0.82,22,1.08,24,1.26,22,1.93,22,1.02
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,139,Chilwell,6.0,5.9,Chelsea,63,2.59,0,0.00,64,3.59,64,1.86,60,3.20,58,3.76,60,3.63,58,2.69
M,140,Pulisic,5.6,5.6,Chelsea,23,1.25,0,0.00,21,1.32,22,1.09,23,1.39,24,1.54,26,2.44,25,1.34
D,141,Chalobah,4.4,4.4,Chelsea,5,0.20,0,0.00,3,0.15,6,0.17,3,0.15,4,0.21,6,0.35,6,0.26
M,142,Mount,7.2,7.2,Chelsea,50,2.59,0,0.00,47,2.92,47,2.05,45,2.69,47,3.25,46,4.13,47,2.51
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,145,Havertz,7.5,7.5,Chelsea,68,3.59,0,0.00,64,4.03,65,2.81,64,3.83,63,4.34,61,5.51,60,3.17
D,146,James,5.8,5.8,Chelsea,62,2.71,0,0.00,66,3.90,65,2.00,64,3.56,64,4.41,66,4.25,61,2.96
G,147,Mendy,4.8,4.8,Chelsea,5,0.21,0,0.00,4,0.20,6,0.20,6,0.26,6,0.32,6,0.47,7,0.30
M,148,Gallagher,5.6,5.6,Chelsea,12,0.57,0,0.00,10,0.54,12,0.51,13,0.66,14,0.82,14,1.18,13,0.59
M,149,Gilmour,4.2,4.2,Brighton,19,0.79,0,0.00,17,0.79,18,1.62,23,1.10,19,1.46,17,1.54,14,0.63
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,9,0.38,41,1.48,72,3.18,86,3.48,87,4.00
D,153,Tomkins,3.9,3.9,Crystal Palace,5,0.16,6,0.19,7,0.20,5,0.15,3,0.07,5,0.16,3,0.08,4,0.13
M,154,McArthur,4.8,4.8,Crystal Palace,19,0.87,19,0.86,23,0.98,23,1.01,20,0.80,20,0.94,17,0.76,18,0.88
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,80,2.78,74,2.89,73,2.33,72,2.64,68,1.55,67,2.69,69,2.18,67,2.91
D,157,Clyne,4.5,4.5,Crystal Palace,25,1.00,29,1.25,30,1.09,29,1.19,29,0.82,30,1.30,30,1.09,31,1.48
M,158,Milivojevic,4.2,4.2,Crystal Palace,24,1.14,27,1.23,26,1.12,28,1.27,22,0.93,22,1.05,25,1.08,23,1.07
M,159,J.Ayew,5.2,5.2,Crystal Palace,65,3.04,64,3.02,66,2.74,63,2.94,61,2.36,56,2.89,55,2.44,55,2.84
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.00,0,0.00,0,0.00,10,0.58,39,1.65,65,3.85,76,3.80,76,4.62
M,161,Schlupp,4.7,4.7,Crystal Palace,73,3.23,68,3.02,70,2.78,65,2.88,62,2.23,59,2.65,56,2.21,58,2.65
G,162,Butland,4.4,4.4,Man Utd,1,0.03,0,0.00,3,0.10,2,0.19,3,0.15,4,0.21,4,0.31,5,0.22
M,163,Hughes,4.8,4.8,Crystal Palace,19,0.90,22,1.02,21,0.90,22,1.01,20,0.83,20,0.95,19,0.83,17,0.85
M,164,Riedewald,4.2,4.2,Crystal Palace,1,0.08,2,0.11,2,0.13,3,0.17,2,0.10,2,0.13,1,0.08,2,0.14
D,165,Andersen,4.5,4.5,Crystal Palace,86,3.15,84,3.42,82,2.72,81,3.13,79,1.87,76,3.27,77,2.56,78,3.60
F,166,Edouard,5.0,5.0,Crystal Palace,42,2.27,56,2.86,54,2.53,54,2.79,52,2.24,47,2.63,48,2.31,49,2.70
D,167,Guéhi,4.4,4.4,Crystal Palace,87,3.05,83,3.29,78,2.52,77,2.86,78,1.75,77,3.11,77,2.46,77,3.41
F,168,Mateta,5.1,5.1,Crystal Palace,32,1.95,32,1.89,34,1.78,32,1.90,30,1.47,26,1.69,24,1.38,23,1.55
M,169,Eze,5.4,5.4,Crystal Palace,71,3.65,67,3.46,66,2.96,65,3.35,60,2.45,60,3.18,58,2.62,58,3.08
D,170,Mitchell,4.4,4.4,Crystal Palace,74,2.81,72,3.06,70,2.45,68,2.75,69,1.74,64,2.79,63,2.20,63,2.98
M,171,Olise,5.4,5.4,Crystal Palace,79,3.80,76,3.66,73,3.13,70,3.41,69,2.69,65,3.43,66,2.92,64,3.42
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,1,0.04,3,0.12,5,0.20,10,0.26,12,0.48,11,0.37,12,0.51
G,175,Johnstone,4.4,4.4,Crystal Palace,89,3.75,86,3.81,86,3.50,77,3.34,46,1.68,18,0.80,4,0.15,3,0.16
G,176,Begović,3.9,3.9,Everton,2,0.07,2,0.09,2,0.09,3,0.12,3,0.10,4,0.14,4,0.16,4,0.17
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,178,Coleman,4.3,4.3,Everton,0,0.00,0,0.00,11,0.41,21,0.82,44,1.20,61,1.60,62,2.44,60,2.91
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.11
D,180,Keane,4.2,4.2,Everton,84,3.84,82,3.06,78,2.50,77,2.65,75,1.82,76,1.77,77,2.81,75,3.47
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,88,3.93,88,3.65,88,3.44,87,3.47,87,3.18,86,3.13,86,3.53,86,3.89
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,0,0.00,0,0.00,75,2.63,73,2.79,71,2.32,71,2.29,72,2.62,68,3.00
M,186,Iwobi,5.1,5.1,Everton,81,3.70,83,3.15,75,2.70,72,2.85,71,2.41,72,2.40,70,2.64,70,3.16
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,3,0.15,3,0.12,6,0.23,5,0.18,6,0.18,7,0.21,15,0.62,5,0.24
M,189,Gray,5.2,5.2,Everton,62,3.80,56,2.89,45,2.07,47,2.40,48,2.00,47,1.92,47,2.21,46,2.67
M,190,Davies,4.9,4.9,Everton,39,1.73,39,1.57,16,0.71,17,0.78,21,0.86,18,0.76,21,0.91,23,1.06
F,191,Calvert-Lewin,7.9,7.9,Everton,27,1.78,35,1.92,68,3.13,68,3.58,70,2.96,69,2.85,69,3.28,69,4.11
D,192,Holgate,4.2,4.2,Everton,20,0.84,20,0.68,15,0.45,15,0.47,10,0.24,7,0.19,13,0.45,8,0.33
