Pos,ID,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,37,McGinn,5.1,5.1,Aston Villa,82,3.07,75,2.99,72,2.42,69,2.66
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.7,4.7,Aston Villa,86,3.15,82,2.76,81,1.51,81,2.37
F,40,Watkins,7.6,7.4,Aston Villa,88,4.58,85,4.89,84,3.73,83,4.36
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,74,3.84,71,3.96,66,2.91,66,3.43
D,43,Cash,4.6,4.6,Aston Villa,16,0.64,45,1.73,64,1.36,63,2.06
D,44,Konsa,4.4,4.4,Aston Villa,86,3.19,84,2.82,81,1.53,78,2.34
M,45,Bailey,4.3,4.3,Aston Villa,15,0.92,32,1.94,38,1.81,39,2.13
M,46,Douglas Luiz,4.8,4.8,Aston Villa,78,2.61,72,2.49,70,2.08,70,2.30
M,47,Ramsey,5.2,5.2,Aston Villa,74,3.21,59,2.85,51,2.04,50,2.27
M,48,Chukwuemeka,4.2,4.2,Chelsea,0,0.00,2,0.13,2,0.25,2,0.15
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,9,0.36,13,0.48,15,0.34,19,0.62
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,21,0.76,50,1.63,75,1.95,74,2.11
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,83,2.40,80,2.20,76,1.78,75,2.35
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,10,0.59,12,0.67,12,0.70,12,0.68
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,0,0.00,1,0.06,4,0.25,9,0.49
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,82,2.47,79,2.34,75,2.24,74,2.28
D,65,Stacey,4.2,4.2,Bournemouth,17,0.60,23,0.79,21,0.64,22,0.81
F,66,Solanke,5.6,5.5,Bournemouth,86,4.37,82,4.02,79,4.11,80,4.09
M,67,Cook,4.9,4.9,Bournemouth,24,0.90,26,0.95,29,1.04,28,1.02
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,65,2.69,61,2.49,62,2.56,62,2.62
M,70,Billing,5.2,5.2,Bournemouth,80,3.27,77,3.08,74,3.02,74,3.08
D,71,Mepham,4.3,4.3,Bournemouth,44,1.21,45,1.20,47,1.01,45,1.33
G,72,Travers,4.2,4.2,Bournemouth,0,0.00,2,0.07,4,0.13,4,0.15
D,73,Kelly,4.3,4.3,Bournemouth,83,2.34,80,2.15,78,1.73,79,2.37
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,43,1.96,46,2.02,45,2.00,43,1.96
D,76,Zemura,4.2,4.2,Bournemouth,1,0.04,2,0.07,2,0.07,3,0.11
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00,10,0.34
F,80,Toney,7.4,7.4,Brentford,85,3.80,73,4.19,57,2.69,46,1.89
G,81,Raya,4.9,4.9,Brentford,88,3.09,88,3.75,88,3.19,85,3.05
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,41,1.72,40,1.99,43,1.88,42,1.69
D,84,Ajer,4.5,4.5,Brentford,51,1.05,36,1.53,42,1.18,41,0.98
D,85,Henry,4.5,4.5,Brentford,80,1.58,76,3.04,74,1.98,74,1.65
M,86,Janelt,5.5,5.5,Brentford,63,2.07,64,2.47,60,2.10,60,1.93
M,87,Ghoddos,4.8,4.8,Brentford,3,0.18,5,0.31,7,0.39,9,0.42
M,88,Jensen,4.8,4.8,Brentford,75,2.58,73,3.07,72,2.65,71,2.42
M,89,Wissa,5.3,5.3,Brentford,37,1.84,39,2.39,45,2.33,49,2.27
D,90,Roerslev,4.3,4.3,Brentford,17,0.42,16,0.65,15,0.42,21,0.54
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,87,1.68,84,3.36,82,2.13,79,1.71
M,93,Onyeka,4.8,4.8,Brentford,41,1.51,41,1.76,43,1.64,41,1.49
M,94,Baptiste,4.5,4.5,Brentford,16,0.74,17,0.84,22,1.00,23,0.96
F,95,Mbeumo,5.7,5.7,Brentford,62,2.60,68,3.55,72,3.22,68,2.80
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,0,0.00,4,0.43,4,0.21
G,102,Steele,4.0,3.9,Brighton,88,4.12,86,6.36,85,7.27,84,3.39
F,103,Welbeck,6.5,6.5,Brighton,51,3.40,41,4.17,37,4.61,34,1.96
M,104,Groß,5.4,5.4,Brighton,49,2.67,67,5.00,74,6.85,71,3.09
D,105,Duffy,4.2,4.2,Fulham,9,0.32,13,0.46,15,0.56,18,0.36
D,106,Dunk,4.8,4.8,Brighton,87,4.50,84,4.43,80,6.55,77,2.72
M,107,March,5.3,5.3,Brighton,82,4.96,79,6.41,75,7.81,73,3.35
D,108,Webster,4.5,4.5,Brighton,56,2.82,58,3.07,56,4.48,53,1.82
D,109,Veltman,4.6,4.6,Brighton,0,0.00,6,0.43,36,3.12,54,1.97
F,110,Maupay,5.6,5.6,Everton,11,0.59,13,0.65,15,0.84,15,0.98
M,111,Trossard,6.6,6.6,Arsenal,40,2.30,42,2.71,43,2.96,44,3.11
D,112,Cucurella,4.9,4.9,Chelsea,0,0.00,0,0.00,10,0.74,15,0.65
G,113,Sánchez,4.5,4.5,Brighton,2,0.10,4,0.28,5,0.39,6,0.22
D,114,Lamptey,4.2,4.2,Brighton,0,0.00,0,0.00,4,0.31,4,0.16
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.5,5.4,Brighton,79,5.20,79,6.80,75,8.59,70,3.51
M,117,Moder,4.4,4.4,Brighton,0,0.00,2,0.26,5,0.63,7,0.40
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,1,0.14,2,0.14
M,120,Caicedo,5.0,5.0,Brighton,83,2.82,82,4.29,78,4.78,74,2.12
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,17,1.33,15,1.73,15,2.34,18,1.17
M,124,Mitoma,5.6,5.5,Brighton,82,5.24,78,6.73,74,8.24,72,3.55
F,125,Enciso,4.6,4.6,Brighton,46,2.61,44,3.80,42,4.35,42,1.93
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,53,2.31,55,2.99,49,2.48,47,1.71
D,128,Thiago Silva,5.4,5.4,Chelsea,80,3.17,78,3.97,75,3.29,73,2.41
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,44,1.49,44,1.62,38,1.54,36,1.50
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,53,2.04,52,2.19,52,3.28,54,1.86
G,133,Arrizabalaga,4.6,4.6,Chelsea,84,3.59,86,4.14,83,5.98,84,3.33
M,134,Kanté,4.8,4.8,Chelsea,53,1.94,53,2.08,56,3.42,54,1.80
M,135,Ziyech,5.5,5.5,Chelsea,7,0.52,9,0.65,10,1.15,11,0.67
M,136,Loftus-Cheek,5.0,5.0,Chelsea,11,0.55,13,0.69,11,1.03,12,0.55
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
D,139,Chilwell,5.7,5.7,Chelsea,81,3.87,76,4.62,77,3.97,73,2.81
M,140,Pulisic,5.6,5.6,Chelsea,15,0.94,20,1.29,23,2.27,24,1.26
D,141,Chalobah,4.4,4.4,Chelsea,41,1.66,40,2.04,34,1.55,39,1.29
M,142,Mount,7.2,7.2,Chelsea,0,0.00,0,0.00,7,0.76,9,0.52
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
F,145,Havertz,7.4,7.4,Chelsea,53,3.19,52,3.50,55,4.95,55,2.86
D,146,James,5.8,5.8,Chelsea,0,0.00,0,0.00,15,1.06,18,0.84
G,147,Mendy,4.8,4.8,Chelsea,6,0.23,4,0.20,7,0.46,6,0.23
M,148,Gallagher,5.6,5.6,Chelsea,64,2.92,52,2.66,39,2.99,36,1.57
M,149,Gilmour,4.2,4.2,Brighton,35,1.55,35,2.52,26,2.24,25,1.02
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,2,0.08,4,0.15,7,0.29,8,0.35
D,153,Tomkins,3.9,3.9,Crystal Palace,0,0.00,1,0.04,2,0.07,4,0.16
M,154,McArthur,4.8,4.8,Crystal Palace,0,0.00,1,0.06,2,0.10,7,0.35
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,76,1.77,71,2.77,68,2.20,68,2.93
D,157,Clyne,4.5,4.5,Crystal Palace,12,0.37,16,0.67,17,0.64,18,0.84
M,158,Milivojevic,4.2,4.2,Crystal Palace,19,0.85,19,0.89,23,0.97,21,1.02
M,159,J.Ayew,5.2,5.2,Crystal Palace,72,2.97,69,3.58,67,3.04,66,3.48
M,160,Zaha,7.2,7.2,Crystal Palace,64,3.11,81,5.10,79,4.18,77,4.93
M,161,Schlupp,4.7,4.7,Crystal Palace,60,2.25,61,2.71,59,2.35,58,2.68
G,162,Butland,4.4,4.4,Man Utd,0,0.00,1,0.06,2,0.18,3,0.11
M,163,Hughes,4.8,4.8,Crystal Palace,25,1.07,27,1.24,27,1.16,28,1.33
M,164,Riedewald,4.2,4.2,Crystal Palace,0,0.00,2,0.11,3,0.13,3,0.13
D,165,Andersen,4.5,4.5,Crystal Palace,84,2.13,81,3.38,81,2.77,81,3.74
F,166,Edouard,5.0,5.0,Crystal Palace,37,1.86,33,1.99,36,1.89,35,2.09
D,167,Guéhi,4.5,4.5,Crystal Palace,87,2.05,82,3.23,80,2.60,79,3.48
F,168,Mateta,5.1,5.1,Crystal Palace,11,0.71,10,0.75,12,0.76,13,0.90
M,169,Eze,5.5,5.5,Crystal Palace,82,3.51,77,4.17,77,3.57,73,3.94
D,170,Mitchell,4.4,4.4,Crystal Palace,76,1.95,74,3.04,71,2.46,71,3.22
M,171,Olise,5.4,5.4,Crystal Palace,74,3.16,72,3.88,70,3.31,69,3.81
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
G,175,Johnstone,4.4,4.4,Crystal Palace,88,3.15,86,3.71,83,3.30,82,3.71
G,176,Begović,3.9,3.9,Everton,0,0.00,2,0.09,4,0.14,4,0.19
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,178,Coleman,4.2,4.2,Everton,0,0.00,0,0.00,0,0.00,0,0.00
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,180,Keane,4.2,4.2,Everton,79,1.51,74,1.42,81,2.63,74,3.08
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,90,3.12,87,3.03,86,3.35,86,3.61
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,75,2.41,73,2.27,71,2.52,70,2.96
M,186,Iwobi,4.9,4.9,Everton,82,2.69,77,2.45,76,2.78,75,3.26
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,2,0.06,4,0.11,14,0.53,6,0.25
M,189,Gray,5.2,5.2,Everton,40,1.69,43,1.74,43,1.98,44,2.48
M,190,Davies,4.9,4.9,Everton,13,0.56,15,0.63,16,0.69,17,0.79
F,191,Calvert-Lewin,7.9,7.9,Everton,74,3.15,72,2.90,69,3.22,68,4.00
D,192,Holgate,4.2,4.2,Everton,34,0.67,36,0.70,30,0.94,23,0.87
D,193,Godfrey,4.3,4.3,Everton,0,0.00,5,0.12,25,0.84,47,1.89
D,194,Mykolenko,4.1,4.1,Everton,85,1.48,80,1.44,72,2.29,65,2.56
M,195,Gordon,5.1,5.1,Newcastle,26,1.50,21,2.60,19,1.37,21,1.21
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,3.9,3.9,Everton,58,1.15,56,1.11,51,1.69,44,1.77
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.1,4.1,Everton,85,1.43,83,1.41,82,2.48,79,3.04
M,200,Cairney,4.7,4.7,Fulham,50,2.46,48,2.24,46,2.17,48,1.88
D,201,Ream,4.6,4.6,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,204,Kebano,5.4,5.4,Fulham,18,1.08,17,0.98,18,1.03,21,1.03
M,205,De Cordova-Reid,5.4,5.4,Fulham,52,2.48,44,2.00,45,2.06,44,1.69
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.4,4.4,Fulham,86,2.73,83,2.67,80,2.77,78,1.29
F,210,Mitrović,6.6,6.6,Fulham,0,0.00,79,4.33,79,4.26,78,3.30
M,211,Reed,4.3,4.3,Fulham,77,2.46,71,2.29,71,2.30,69,1.93
M,212,Wilson,5.7,5.7,Fulham,54,3.18,58,3.16,57,3.11,55,2.39
G,213,Rodák,4.3,4.3,Fulham,0,0.00,2,0.09,3,0.12,3,0.11
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,215,Tete,4.4,4.4,Fulham,79,2.67,75,2.58,73,2.71,71,1.26
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,86,2.71,82,2.69,81,2.86,80,1.34
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,220,Palhinha,4.9,4.9,Fulham,87,2.83,83,2.63,81,2.60,79,2.11
D,221,Cooper,4.4,4.4,Leeds,0,0.00,0,0.00,0,0.00,9,0.27
D,222,Ayling,4.5,4.5,Leeds,50,0.80,51,1.26,51,1.41,51,1.50
M,223,Klich,4.6,4.6,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,224,Forshaw,4.4,4.4,Leeds,33,1.12,33,1.21,35,1.27,32,1.25
M,225,Rodrigo,6.3,6.3,Leeds,55,2.19,52,2.53,52,2.65,50,2.88
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00,2,0.07
F,227,Bamford,7.1,7.1,Leeds,72,2.83,69,3.31,65,3.31,64,3.68
D,228,Llorente,4.4,4.4,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,86,1.25,82,1.82,78,1.97,75,2.02
M,231,James,5.9,5.9,Fulham,45,2.49,12,0.77,12,0.72,12,0.64
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,233,Harrison,5.7,5.7,Leeds,79,2.56,76,2.90,72,2.90,71,3.15
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,50,0.91,40,1.07,38,1.13,38,1.18
G,236,Klaesson,3.8,3.8,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
F,237,Greenwood,4.0,4.0,Leeds,1,0.06,3,0.17,6,0.32,6,0.36
G,238,Meslier,4.5,4.5,Leeds,65,2.25,65,2.29,63,2.28,63,2.28
D,239,Firpo,4.5,4.5,Leeds,69,1.16,58,1.46,61,1.69,55,1.66
M,240,Summerville,4.2,4.2,Leeds,56,1.96,58,2.35,55,2.34,54,2.51
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.1,5.1,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,243,Hjelde,3.9,3.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,244,Kristensen,4.7,4.7,Leeds,47,0.82,47,1.23,49,1.40,49,1.49
M,245,Roca,4.8,4.8,Leeds,79,2.09,79,2.37,75,2.36,74,2.48
M,246,Aaronson,5.3,5.3,Leeds,43,1.59,44,1.83,48,2.03,46,2.10
M,247,Gyabi,4.2,4.2,Leeds,0,0.00,0,0.00,0,0.00,1,0.06
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,21,0.69,39,0.82,48,0.87,50,1.67
D,250,Bertrand,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,251,Albrighton,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,252,Mendy,4.2,4.2,Leicester,17,0.71,18,0.72,19,0.74,20,0.80
D,253,Vestergaard,3.8,3.8,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
G,254,Ward,3.9,3.9,Leicester,1,0.05,2,0.07,4,0.13,3,0.12
F,255,Vardy,9.1,9.1,Leicester,65,3.69,63,3.21,59,2.57,52,3.10
D,256,Ricardo,4.2,4.2,Leicester,24,1.03,38,1.13,47,1.13,45,1.95
D,257,Amartey,3.9,3.9,Leicester,11,0.37,10,0.24,8,0.19,11,0.38
D,258,Castagne,4.3,4.3,Leicester,85,2.85,78,1.70,76,1.42,74,2.68
M,259,Tielemans,6.1,6.1,Leicester,78,2.75,78,2.48,76,2.25,74,2.74
M,260,Pérez,4.7,4.7,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,261,Maddison,7.9,7.9,Leicester,85,4.43,82,3.69,80,3.06,78,4.26
F,262,Iheanacho,5.8,5.8,Leicester,0,0.00,0,0.00,7,0.34,23,1.36
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.6,6.6,Leicester,78,3.98,75,3.34,75,2.89,76,3.87
M,265,Ndidi,4.8,4.8,Leicester,22,0.81,23,0.80,24,0.77,26,0.94
M,266,Dewsbury-Hall,4.9,4.9,Leicester,35,1.61,36,1.51,33,1.28,35,1.64
D,267,Söyüncü,4.2,4.2,Leicester,73,2.33,61,1.21,56,1.00,52,1.75
D,268,Justin,4.1,4.1,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,269,Soumaré,4.4,4.4,Leicester,55,1.77,52,1.58,53,1.54,52,1.70
D,270,Thomas,3.9,3.9,Leicester,21,0.76,21,0.56,20,0.49,17,0.64
F,271,Daka,5.6,5.6,Leicester,30,1.80,34,1.79,34,1.57,29,1.77
D,272,W.Fofana,4.3,4.3,Chelsea,83,3.10,82,3.99,78,3.24,77,2.42
D,273,Brunt,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,274,Milner,4.4,4.4,Liverpool,21,1.12,14,0.76,15,0.81,15,0.82
M,275,Henderson,5.3,5.3,Liverpool,24,1.10,61,2.42,63,2.52,58,2.45
D,276,Matip,5.9,5.9,Liverpool,7,0.28,15,0.58,14,0.58,15,0.68
M,277,Thiago,5.1,5.1,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
M,278,Chamberlain,4.9,4.9,Liverpool,6,0.44,5,0.34,4,0.31,4,0.30
F,279,Firmino,8.0,8.0,Liverpool,0,0.00,2,0.17,6,0.46,14,0.98
D,280,Van Dijk,6.6,6.6,Liverpool,87,3.69,81,3.16,80,3.32,79,3.51
G,281,Alisson,5.4,5.4,Liverpool,89,3.82,87,3.63,88,3.75,87,3.80
M,282,Fabinho,5.2,5.2,Liverpool,75,2.48,72,2.35,68,2.28,65,2.32
M,283,Salah,13.0,12.9,Liverpool,83,6.87,82,6.44,80,6.38,78,6.58
D,284,Robertson,6.8,6.8,Liverpool,82,3.99,78,3.58,77,3.72,75,3.91
D,285,Alexander-Arnold,7.6,7.4,Liverpool,80,4.55,82,4.35,83,4.59,79,4.76
D,286,Gomez,4.3,4.3,Liverpool,11,0.42,14,0.48,16,0.62,18,0.75
M,287,Keita,4.7,4.7,Liverpool,0,0.00,3,0.17,13,0.66,25,1.27
F,288,Diogo Jota,8.9,8.9,Liverpool,27,1.89,54,3.45,52,3.32,50,3.42
G,289,Kelleher,4.0,4.0,Liverpool,0,0.00,2,0.10,2,0.09,3,0.12
D,290,Konaté,4.8,4.8,Liverpool,83,3.19,77,2.74,76,2.86,75,3.06
M,291,Jones,4.9,4.9,Liverpool,69,2.75,59,2.34,54,2.19,52,2.23
D,292,Tsimikas,4.3,4.3,Liverpool,9,0.52,12,0.57,12,0.60,14,0.74
M,293,Luis Díaz,7.8,7.8,Liverpool,55,3.55,42,2.69,43,2.74,43,2.85
