Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,142,Mount,7.2,7.2,Chelsea,3,0.39,11,0.69
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00
F,145,Havertz,7.4,7.4,Chelsea,48,4.44,46,2.55
D,146,James,5.8,5.8,Chelsea,1,0.09,12,0.54
G,147,Mendy,4.8,4.8,Chelsea,35,2.40,33,1.20
M,148,Gallagher,5.6,5.6,Chelsea,72,4.74,58,2.30
M,149,Gilmour,4.2,4.2,Brighton,35,2.94,31,1.25
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,1,0.04,3,0.12
D,153,Tomkins,3.9,3.9,Crystal Palace,0,0.00,2,0.06
M,154,McArthur,4.8,4.8,Crystal Palace,20,0.91,23,1.17
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,77,2.38,75,3.07
D,157,Clyne,4.5,4.5,Crystal Palace,13,0.47,16,0.73
M,158,Milivojevic,4.2,4.2,Crystal Palace,0,0.00,4,0.20
M,159,J.Ayew,5.2,5.2,Crystal Palace,80,3.56,77,4.04
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.00,0,0.00
M,161,Schlupp,4.7,4.7,Crystal Palace,0,0.00,9,0.46
G,162,Butland,4.4,4.4,Man Utd,1,0.11,2,0.07
M,163,Hughes,4.8,4.8,Crystal Palace,59,2.16,57,2.40
M,164,Riedewald,4.2,4.2,Crystal Palace,3,0.13,4,0.18
D,165,Andersen,4.5,4.5,Crystal Palace,86,2.78,82,3.54
F,166,Edouard,5.0,5.0,Crystal Palace,55,2.79,51,2.91
D,167,Guéhi,4.5,4.5,Crystal Palace,87,2.72,84,3.50
F,168,Mateta,5.1,5.1,Crystal Palace,19,1.22,20,1.46
M,169,Eze,5.6,5.6,Crystal Palace,83,4.33,80,4.91
D,170,Mitchell,4.4,4.4,Crystal Palace,80,2.61,77,3.31
M,171,Olise,5.3,5.3,Crystal Palace,84,3.92,79,4.37
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,0,0.00
G,175,Johnstone,4.4,4.4,Crystal Palace,89,3.45,87,3.78
G,176,Begović,3.9,3.9,Everton,0,0.00,3,0.11
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00
D,178,Coleman,4.2,4.2,Everton,0,0.00,0,0.00
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00
D,180,Keane,4.2,4.2,Everton,41,1.59,40,1.84
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,89,3.63,87,3.74
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,77,3.11,74,3.50
M,186,Iwobi,4.9,4.9,Everton,84,3.36,81,3.69
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,77,2.90,77,3.46
M,189,Gray,5.1,5.1,Everton,27,1.53,28,1.78
M,190,Davies,4.9,4.9,Everton,2,0.14,7,0.39
F,191,Calvert-Lewin,7.9,7.9,Everton,47,2.72,64,4.31
D,192,Holgate,4.2,4.2,Everton,42,1.54,34,1.45
D,193,Godfrey,4.3,4.3,Everton,0,0.00,4,0.17
D,194,Mykolenko,4.1,4.1,Everton,20,0.76,47,2.10
M,195,Gordon,5.1,5.1,Newcastle,27,1.91,25,1.43
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00
D,197,Patterson,3.9,3.9,Everton,82,3.08,77,3.50
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00
D,199,Tarkowski,4.1,4.1,Everton,87,3.12,83,3.60
M,200,Cairney,4.7,4.7,Fulham,54,2.61,52,2.00
D,201,Ream,4.5,4.5,Fulham,0,0.00,0,0.00
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,0,0.00,0,0.00
M,204,Kebano,5.4,5.4,Fulham,20,1.17,21,1.03
M,205,De Cordova-Reid,5.4,5.4,Fulham,34,1.71,37,1.48
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00
D,209,Tosin,4.4,4.4,Fulham,81,2.86,79,1.28
F,210,Mitrović,6.6,6.6,Fulham,49,2.89,63,2.70
M,211,Reed,4.3,4.3,Fulham,73,2.44,68,1.94
M,212,Wilson,5.7,5.7,Fulham,58,3.27,58,2.51
G,213,Rodák,4.3,4.3,Fulham,4,0.18,5,0.18
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00
D,215,Tete,4.4,4.4,Fulham,73,2.74,66,1.18
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,80,2.85,79,1.33
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00
M,220,Palhinha,4.9,4.9,Fulham,82,2.65,79,2.08
D,221,Cooper,4.4,4.4,Leeds,36,1.17,36,1.07
D,222,Ayling,4.5,4.5,Leeds,85,2.78,82,2.45
M,223,Klich,4.6,4.6,Leeds,0,0.00,0,0.00
M,224,Forshaw,4.4,4.4,Leeds,45,1.64,39,1.47
M,225,Rodrigo,6.3,6.3,Leeds,58,3.31,58,3.39
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00
F,227,Bamford,7.1,7.1,Leeds,64,3.65,61,3.65
D,228,Llorente,4.4,4.4,Leeds,0,0.00,0,0.00
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,84,2.52,81,2.21
M,231,James,5.9,5.9,Fulham,8,0.46,11,0.54
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00
M,233,Harrison,5.7,5.7,Leeds,76,3.42,73,3.33
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,41,1.41,27,0.86
G,236,Klaesson,3.8,3.8,Leeds,0,0.00,0,0.00
F,237,Greenwood,4.0,4.0,Leeds,36,1.64,32,1.55
G,238,Meslier,4.5,4.5,Leeds,5,0.20,8,0.28
D,239,Firpo,4.5,4.5,Leeds,0,0.00,42,1.31
M,240,Summerville,4.2,4.2,Leeds,32,1.66,31,1.63
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00
F,242,Gelhardt,5.1,5.1,Leeds,0,0.00,0,0.00
D,243,Hjelde,3.9,3.9,Leeds,0,0.00,0,0.00
D,244,Kristensen,4.7,4.7,Leeds,77,2.46,70,2.06
M,245,Roca,4.8,4.8,Leeds,10,0.45,23,0.97
M,246,Aaronson,5.3,5.3,Leeds,42,2.00,40,1.94
M,247,Gyabi,4.2,4.2,Leeds,1,0.06,0,0.00
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,82,1.40,74,2.73
D,250,Bertrand,3.9,3.9,Leicester,0,0.00,0,0.00
M,251,Albrighton,4.7,4.7,Leicester,0,0.00,0,0.00
M,252,Mendy,4.2,4.2,Leicester,3,0.20,4,0.23
D,253,Vestergaard,3.8,3.8,Leicester,0,0.00,0,0.00
G,254,Ward,3.8,3.8,Leicester,0,0.00,2,0.09
F,255,Vardy,9.1,9.1,Leicester,53,2.47,37,2.44
D,256,Ricardo,4.2,4.2,Leicester,63,1.36,61,2.84
D,257,Amartey,3.9,3.9,Leicester,10,0.23,12,0.46
D,258,Castagne,4.3,4.3,Leicester,84,1.49,80,3.25
M,259,Tielemans,6.1,6.1,Leicester,78,2.47,75,3.17
M,260,Pérez,4.7,4.7,Leicester,0,0.00,0,0.00
M,261,Maddison,7.8,7.8,Leicester,85,3.36,82,4.75
F,262,Iheanacho,5.8,5.8,Leicester,39,1.84,57,3.46
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00
M,264,Barnes,6.6,6.6,Leicester,75,3.06,72,4.14
M,265,Ndidi,4.8,4.8,Leicester,43,1.32,39,1.42
M,266,Dewsbury-Hall,4.9,4.9,Leicester,17,0.72,27,1.31
D,267,Söyüncü,4.2,4.2,Leicester,0,0.00,5,0.21
D,268,Justin,4.1,4.1,Leicester,0,0.00,0,0.00
M,269,Soumaré,4.4,4.4,Leicester,66,1.78,64,2.04
D,270,Thomas,3.9,3.9,Leicester,5,0.14,9,0.35
F,271,Daka,5.6,5.6,Leicester,15,0.81,13,0.90
D,272,W.Fofana,4.3,4.3,Chelsea,81,3.11,72,2.06
D,273,Brunt,3.9,3.9,Leicester,0,0.00,0,0.00
M,274,Milner,4.4,4.4,Liverpool,10,0.56,14,0.79
M,275,Henderson,5.3,5.3,Liverpool,65,2.71,63,2.68
D,276,Matip,5.9,5.9,Liverpool,8,0.34,13,0.58
M,277,Thiago,5.1,5.1,Liverpool,0,0.00,0,0.00
M,278,Chamberlain,4.9,4.9,Liverpool,7,0.47,7,0.47
F,279,Firmino,8.0,8.0,Liverpool,20,1.35,23,1.63
D,280,Van Dijk,6.6,6.6,Liverpool,86,3.75,84,3.90
G,281,Alisson,5.4,5.4,Liverpool,88,3.83,88,3.95
M,282,Fabinho,5.2,5.2,Liverpool,74,2.39,73,2.48
M,283,Salah,13.1,12.9,Liverpool,85,7.18,82,7.30
D,284,Robertson,6.8,6.8,Liverpool,82,4.04,75,4.06
D,285,Alexander-Arnold,7.7,7.5,Liverpool,86,4.88,83,5.12
D,286,Gomez,4.3,4.3,Liverpool,6,0.25,12,0.49
M,287,Keita,4.7,4.7,Liverpool,0,0.00,0,0.00
F,288,Diogo Jota,8.7,8.7,Liverpool,47,3.05,55,3.70
G,289,Kelleher,3.9,3.9,Liverpool,2,0.07,2,0.07
D,290,Konaté,4.8,4.8,Liverpool,84,3.28,77,3.28
M,291,Jones,4.9,4.9,Liverpool,67,2.79,61,2.68
D,292,Tsimikas,4.3,4.3,Liverpool,9,0.50,14,0.77
M,293,Luis Díaz,7.8,7.8,Liverpool,57,3.61,48,3.26
M,294,Elliott,4.8,4.8,Liverpool,27,1.43,29,1.55
D,295,N.Williams,3.8,3.8,Nott'm Forest,0,0.00,0,0.00
M,296,Carvalho,5.1,5.1,Liverpool,5,0.33,4,0.32
F,297,Darwin,8.6,8.6,Liverpool,0,0.00,5,0.39
D,298,Ramsay,3.9,3.9,Liverpool,0,0.00,0,0.00
D,299,Walker,4.7,4.7,Man City,64,5.44,67,2.96
M,300,Gündogan,7.4,7.4,Man City,57,6.10,58,2.91
M,301,De Bruyne,12.2,12.2,Man City,55,7.44,56,3.53
D,302,Stones,5.6,5.6,Man City,54,4.95,54,2.57
M,303,Mahrez,7.4,7.3,Man City,65,8.67,65,4.05
M,304,Sterling,9.7,9.7,Chelsea,60,5.44,60,3.27
M,305,Grealish,7.2,7.2,Man City,46,5.28,44,2.41
D,306,Cancelo,7.1,7.1,Man City,0,0.00,0,0.00
G,307,Ederson,5.4,5.4,Man City,78,6.71,79,3.50
D,308,Aké,5.0,5.0,Man City,29,2.74,52,2.58
D,309,Laporte,5.6,5.6,Man City,51,4.68,41,2.02
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00
M,311,Bernardo,6.7,6.7,Man City,43,4.04,45,1.99
D,312,Dias,6.0,6.0,Man City,72,6.27,72,3.26
D,313,Zinchenko,5.1,5.1,Arsenal,0,0.00,0,0.00
M,314,Foden,8.0,8.0,Man City,57,7.29,58,3.40
M,315,Rodri,5.6,5.6,Man City,74,6.05,77,2.98
M,316,Palmer,4.2,4.2,Man City,6,0.82,6,0.37
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00
F,318,Haaland,12.4,12.3,Man City,69,11.45,69,5.11
F,319,Álvarez,6.1,6.1,Man City,54,6.27,51,2.79
D,320,Mbete,3.9,3.9,Man City,0,0.00,0,0.00
M,321,Lavia,4.5,4.5,Southampton,79,1.88,78,1.91
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0.00,0,0.00
F,323,Delap,4.4,4.4,Man City,0,0.00,0,0.00
G,324,Ortega,3.8,3.8,Man City,12,1.11,11,0.52
M,325,Phillips,4.8,4.8,Man City,15,1.25,11,0.43
F,326,Ronaldo,10.2,10.2,Man Utd,0,0.00,0,0.00
G,327,De Gea,5.1,5.1,Man Utd,89,7.48,88,3.97
D,328,Jones,3.8,3.8,Man Utd,0,0.00,0,0.00
D,329,Varane,4.8,4.8,Man Utd,85,6.95,82,3.88
D,330,Maguire,4.7,4.7,Man Utd,13,1.04,19,0.89
M,331,Fred,5.1,5.1,Man Utd,16,1.54,17,0.85
D,332,Shaw,5.2,5.2,Man Utd,83,7.16,81,4.09
M,333,Fernandes,9.5,9.5,Man Utd,87,11.12,84,6.03
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00
M,335,Rashford,7.2,6.9,Man Utd,65,9.79,79,6.62
M,336,Van de Beek,5.1,5.1,Man Utd,0,0.00,0,0.00
D,337,Lindelöf,4.1,4.1,Man Utd,74,5.68,69,3.05
M,338,McTominay,4.9,4.9,Man Utd,14,1.20,19,0.86
D,339,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00
M,340,Sancho,7.1,7.1,Man Utd,53,6.42,46,3.09
D,341,Wan-Bissaka,4.3,4.3,Man Utd,55,4.55,51,2.44
D,342,Dalot,4.8,4.8,Man Utd,41,3.58,43,2.15
D,343,B.Williams,3.7,3.7,Man Utd,0,0.00,0,0.00
M,344,Elanga,4.6,4.6,Man Utd,0,0.00,0,0.00
F,345,Martial,6.3,6.3,Man Utd,52,6.89,48,3.41
M,346,Andreas,4.4,4.4,Fulham,0,0.00,0,0.00
M,347,Pellistri,4.3,4.3,Man Utd,3,0.46,4,0.31
G,348,Heaton,3.8,3.8,Man Utd,0,0.00,0,0.00
M,349,Shelvey,4.8,4.8,Nott'm Forest,0,0.00,0,0.00
D,350,Ritchie,4.2,4.2,Newcastle,0,0.00,0,0.00
D,351,Fernández,4.4,4.4,Newcastle,0,0.00,0,0.00
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00
G,353,Darlow,3.9,3.9,Newcastle,0,0.00,0,0.00
F,354,Wood,5.6,5.6,Nott'm Forest,0,0.00,0,0.00
G,355,Dubravka,4.1,4.1,Newcastle,0,0.00,2,0.09
F,356,Wilson,7.2,7.2,Newcastle,66,5.25,64,3.93
D,357,Trippier,6.1,6.0,Newcastle,77,4.41,82,3.40
D,358,Burn,4.5,4.5,Newcastle,80,3.89,74,2.66
M,359,Fraser,5.2,5.2,Newcastle,7,0.51,5,0.35
D,360,Lascelles,4.3,4.3,Newcastle,0,0.00,0,0.00
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00
D,362,Dummett,3.9,3.9,Newcastle,7,0.31,9,0.35
D,363,Manquillo,4.2,4.2,Newcastle,11,0.52,6,0.21
D,364,Krafth,4.3,4.3,Newcastle,0,0.00,0,0.00
M,365,Murphy,4.2,4.2,Newcastle,22,1.34,30,1.51
D,366,Schär,5.1,5.1,Newcastle,84,4.37,79,3.05
D,367,Targett,4.7,4.7,Newcastle,21,1.11,27,1.12
M,368,Saint-Maximin,6.1,6.1,Newcastle,44,3.07,45,2.50
M,369,Almirón,5.4,5.4,Newcastle,57,3.23,50,2.33
M,370,S.Longstaff,4.3,4.3,Newcastle,10,0.49,16,0.67
M,371,Joelinton,6.1,6.1,Newcastle,69,3.10,74,2.71
D,372,Lewis,4.4,4.4,Newcastle,2,0.09,2,0.09
M,373,Willock,4.7,4.7,Newcastle,28,1.58,43,1.98
M,374,Bruno Guimarães,5.5,5.5,Newcastle,86,3.57,81,2.82
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00
G,376,Pope,5.4,5.4,Newcastle,89,3.94,88,3.50
D,377,Botman,4.5,4.5,Newcastle,80,3.75,80,2.82
M,378,Arter,4.1,4.1,Nott'm Forest,0,0.00,0,0.00
D,379,Cook,4.3,4.3,Nott'm Forest,1,0.04,2,0.07
F,380,Lyle Taylor,4.1,4.1,Nott'm Forest,0,0.00,0,0.00
M,381,Colback,4.1,4.1,Nott'm Forest,2,0.08,5,0.22
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00
M,383,Cafú,4.2,4.2,Nott'm Forest,0,0.00,0,0.00
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.00,0,0.00
D,385,McKenna,4.4,4.4,Nott'm Forest,0,0.00,0,0.00
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00
M,387,Yates,5.0,5.0,Nott'm Forest,47,1.70,47,1.70
D,388,Worrall,4.2,4.2,Nott'm Forest,47,0.93,48,1.30
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.00,0,0.00
F,391,Surridge,4.6,4.6,Nott'm Forest,9,0.54,9,0.53
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0.00,0,0.00
F,394,Johnson,5.5,5.5,Nott'm Forest,69,2.99,69,2.90
